,SO2,CO,O3,PM10,PM25,NO2,pr
0,2.0,0.71,3.3,38.0,21.0,22.0,
1,2.9,0.61,3.5,35.0,15.0,19.0,
2,2.3,0.46,23.0,17.0,11.0,7.7,
3,2.7,0.43,22.0,14.0,12.0,8.9,
4,2.7,0.44,23.0,12.0,6.0,8.4,
5,2.6,0.43,25.0,11.0,16.0,9.4,
6,2.7,0.49,22.0,2.0,11.0,14.0,
7,3.0,0.69,15.0,9.0,13.0,21.0,
8,2.9,0.63,23.0,21.0,7.0,17.0,
9,3.1,0.56,24.0,31.0,10.0,17.0,
10,2.7,0.51,32.0,36.0,16.0,16.0,
11,2.4,0.49,43.0,35.0,11.0,13.0,
12,2.3,0.51,49.0,35.0,15.0,13.0,
13,2.6,0.53,53.0,33.0,10.0,13.0,
14,3.2,0.54,54.0,43.0,18.0,15.0,
15,2.9,0.56,47.0,50.0,19.0,18.0,
16,2.7,0.59,39.0,54.0,25.0,19.0,
17,2.6,0.67,23.0,51.0,29.0,23.0,
18,2.9,0.73,17.0,47.0,25.0,25.0,
19,2.3,0.64,21.0,40.0,25.0,19.0,
20,2.1,0.61,23.0,38.0,17.0,16.0,
21,2.1,0.67,19.0,34.0,18.0,19.0,
22,2.5,0.64,21.0,33.0,20.0,17.0,
23,3.0,0.58,23.0,29.0,23.0,15.0,
24,3.3,0.53,23.0,30.0,23.0,13.0,
25,3.8,0.52,21.0,30.0,20.0,14.0,
26,3.0,0.5,21.0,28.0,19.0,15.0,
27,2.4,0.48,28.0,27.0,25.0,10.0,
28,2.6,0.46,27.0,28.0,26.0,10.0,
29,2.1,0.46,28.0,32.0,33.0,11.0,
30,2.3,0.47,26.0,34.0,30.0,14.0,
31,2.5,0.59,18.0,32.0,32.0,21.0,
32,3.3,0.72,15.0,28.0,26.0,24.0,
33,3.0,0.58,22.0,33.0,29.0,19.0,
34,1.8,0.48,33.0,36.0,24.0,15.0,
35,1.9,0.5,38.0,46.0,30.0,15.0,
36,2.2,0.51,49.0,42.0,29.0,17.0,
37,1.9,0.45,63.0,54.0,36.0,14.0,
38,1.8,0.44,66.0,46.0,33.0,16.0,
39,2.1,0.45,62.0,48.0,37.0,20.0,
40,2.3,0.52,51.0,48.0,34.0,27.0,
41,2.0,0.61,34.0,59.0,42.0,28.0,
42,2.0,0.64,33.0,67.0,38.0,23.0,
43,2.8,0.71,21.0,67.0,44.0,30.0,
44,3.5,0.75,14.0,68.0,43.0,33.0,
45,2.9,0.68,15.0,67.0,46.0,28.0,
46,2.7,0.64,16.0,64.0,46.0,25.0,
47,2.6,0.71,7.9,58.0,44.0,30.0,
48,2.6,0.66,6.2,54.0,39.0,29.0,
49,2.4,0.59,5.6,54.0,32.0,27.0,
50,2.2,0.51,11.0,53.0,35.0,26.0,
51,1.9,0.42,25.0,50.0,33.0,11.0,
52,1.9,0.4,23.0,41.0,34.0,12.0,
53,2.8,0.4,14.0,43.0,33.0,17.0,
54,2.4,0.46,4.1,33.0,27.0,25.0,
55,3.0,0.6,6.9,38.0,26.0,25.0,
56,3.4,0.78,11.0,32.0,22.0,26.0,
57,3.4,0.76,17.0,43.0,29.0,29.0,
58,3.2,0.47,31.0,47.0,39.0,21.0,
59,1.9,0.41,45.0,51.0,34.0,17.0,
60,1.7,0.4,53.0,48.0,34.0,19.0,
61,1.9,0.39,63.0,49.0,24.0,16.0,
62,1.9,0.38,64.0,57.0,36.0,14.0,
63,1.8,0.39,51.0,68.0,37.0,18.0,
64,1.9,0.43,43.0,72.0,37.0,19.0,
65,1.9,0.49,34.0,67.0,30.0,21.0,
66,2.0,0.56,26.0,63.0,30.0,24.0,
67,2.3,0.55,25.0,61.0,26.0,22.0,
68,3.1,0.52,20.0,57.0,34.0,24.0,
69,2.7,0.48,23.0,55.0,32.0,20.0,
70,2.8,0.48,21.0,52.0,37.0,19.0,
71,3.3,0.43,16.0,57.0,33.0,20.0,
72,3.3,0.45,9.2,51.0,32.0,23.0,
73,2.9,0.43,8.0,53.0,32.0,23.0,
74,3.1,0.4,8.8,49.0,33.0,21.0,
75,2.8,0.41,3.8,53.0,33.0,26.0,
76,2.6,0.41,8.1,48.0,33.0,20.0,
77,2.8,0.4,9.5,55.0,26.0,20.0,
78,2.9,0.46,5.4,54.0,33.0,22.0,
79,2.7,0.75,4.6,59.0,30.0,25.0,
80,2.9,1.29,8.1,61.0,34.0,33.0,
81,3.1,0.72,21.0,69.0,39.0,27.0,
82,2.5,0.43,30.0,64.0,45.0,17.0,
83,2.4,0.39,40.0,44.0,39.0,14.0,
84,2.1,0.37,45.0,38.0,29.0,14.0,
85,1.6,0.33,38.0,37.0,24.0,15.0,
86,1.4,0.32,37.0,52.0,27.0,14.0,
87,1.1,0.33,36.0,51.0,24.0,14.0,
88,1.0,0.35,34.0,53.0,23.0,14.0,
89,1.1,0.49,24.0,43.0,17.0,20.0,
90,1.0,0.48,19.0,36.0,17.0,21.0,
91,0.9,0.37,25.0,24.0,17.0,14.0,
92,0.8,0.35,28.0,25.0,13.0,12.0,
93,1.0,0.39,25.0,27.0,10.0,14.0,
94,1.3,0.41,20.0,38.0,17.0,16.0,
95,1.6,0.39,17.0,39.0,18.0,15.0,
96,1.5,0.39,13.0,43.0,25.0,18.0,
97,2.4,0.32,15.0,43.0,11.0,15.0,
98,2.0,0.28,17.0,49.0,22.0,13.0,
99,1.9,0.24,20.0,44.0,18.0,11.0,
100,2.0,0.23,23.0,35.0,21.0,10.0,
