,SO2,PM10,PM25,NO2,pr
0,3.3,21.0,2.0,5.1,
1,3.3,21.0,2.0,3.4,
2,3.3,20.0,2.0,2.9,
3,3.3,22.0,3.0,3.1,
4,3.3,22.0,3.0,3.0,
5,3.5,26.0,4.0,6.3,
6,3.8,26.0,4.0,7.0,
7,3.8,27.0,5.0,5.7,
8,3.9,28.0,6.0,6.3,
9,4.0,30.0,7.0,6.0,
10,3.9,31.0,8.0,5.4,
11,3.8,30.0,8.0,5.1,
12,3.8,30.0,9.0,5.1,
13,3.9,30.0,8.0,6.1,
14,3.9,30.0,8.0,7.6,
15,3.6,29.0,8.0,6.5,
16,3.6,30.0,6.0,6.0,
17,3.6,28.0,6.0,5.5,
18,3.5,28.0,6.0,5.0,
19,3.4,28.0,6.0,4.7,
20,3.4,28.0,6.0,4.9,
21,3.5,28.0,5.0,4.7,
22,3.5,28.0,5.0,4.2,
23,3.4,26.0,3.0,3.5,
24,4.6,40.0,16.0,10.8,
25,4.1,43.0,17.0,10.9,
26,3.9,40.0,16.0,17.8,
27,3.8,40.0,16.0,19.7,
28,3.9,40.0,16.0,20.8,
29,4.7,41.0,16.0,19.2,
30,6.8,44.0,19.0,19.8,
31,4.6,48.0,21.0,16.2,
32,4.5,48.0,20.0,12.6,
33,8.7,48.0,19.0,14.4,
34,6.5,46.0,18.0,14.4,
35,6.0,43.0,17.0,11.2,
36,5.0,41.0,18.0,9.2,
37,4.1,42.0,19.0,6.5,
38,4.2,39.0,17.0,5.4,
39,3.8,38.0,15.0,6.2,
40,4.0,35.0,13.0,7.8,
41,4.0,32.0,10.0,8.2,
42,3.9,30.0,10.0,7.2,
43,4.5,28.0,7.0,10.4,
44,4.5,28.0,8.0,8.3,
45,3.8,28.0,8.0,9.7,
46,3.6,26.0,8.0,10.7,
47,3.8,26.0,6.0,10.8,
48,3.8,26.0,7.0,10.2,
49,4.0,25.0,7.0,15.5,
50,3.8,28.0,10.0,16.2,
51,4.0,31.0,11.0,16.6,
52,3.9,32.0,12.0,15.6,
53,4.0,34.0,13.0,8.3,
54,4.0,32.0,11.0,7.2,
55,4.0,33.0,10.0,9.2,
56,4.0,34.0,9.0,8.8,
57,4.0,34.0,8.0,11.0,
58,3.9,34.0,8.0,9.9,
59,3.8,35.0,9.0,8.7,
60,4.1,35.0,9.0,9.9,
61,4.2,34.0,10.0,11.3,
62,4.5,36.0,9.0,11.5,
63,4.6,36.0,9.0,10.2,
64,5.0,35.0,10.0,10.3,
65,5.2,35.0,11.0,6.7,
66,4.6,32.0,11.0,1.0,
67,5.1,33.0,11.0,0.3,
68,6.6,34.0,10.0,3.1,
69,4.7,34.0,9.0,1.2,
70,4.2,35.0,9.0,1.2,
71,4.4,34.0,9.0,1.2,
72,4.4,32.0,9.0,0.7,
73,3.8,34.0,9.0,1.8,
74,2.5,34.0,9.0,5.6,
75,2.5,34.0,11.0,4.7,
76,2.5,35.0,11.0,3.5,
77,2.6,34.0,10.0,4.2,
78,2.9,35.0,10.0,6.5,
79,2.8,38.0,10.0,4.9,
80,2.6,38.0,11.0,3.9,
81,2.6,40.0,12.0,5.4,
82,2.5,39.0,12.0,4.5,
83,2.6,38.0,12.0,5.6,
84,2.6,37.0,13.0,5.0,
85,2.5,36.0,12.0,6.2,
86,2.4,35.0,12.0,6.0,
87,2.4,33.0,11.0,4.5,
88,2.5,32.0,10.0,5.7,
89,2.6,32.0,10.0,3.4,
90,2.5,28.0,8.0,1.9,
91,2.5,28.0,9.0,3.0,
92,2.6,30.0,10.0,5.7,
93,2.6,28.0,10.0,5.9,
94,2.8,30.0,10.0,6.2,
95,2.8,30.0,10.0,7.3,
96,2.6,28.0,8.0,6.1,
97,2.8,28.0,8.0,5.0,
98,2.9,26.0,8.0,3.0,
99,2.8,28.0,7.0,2.3,
100,2.5,29.0,7.0,2.2,
101,2.5,29.0,7.0,2.0,
102,2.6,30.0,7.0,1.7,
103,2.5,30.0,7.0,2.0,
104,2.5,30.0,7.0,2.6,
105,2.4,29.0,7.0,2.9,
106,2.5,28.0,6.0,3.8,
107,2.9,27.0,6.0,2.8,
108,2.6,26.0,7.0,2.2,
109,2.6,26.0,7.0,2.0,
110,2.6,26.0,8.0,1.8,
111,2.6,26.0,8.0,1.4,
112,2.3,26.0,8.0,1.4,
113,1.7,26.0,9.0,2.0,
114,1.5,26.0,8.0,5.2,
115,1.7,26.0,8.0,7.5,
116,1.7,26.0,8.0,9.7,
117,1.7,29.0,10.0,10.7,
118,1.7,28.0,9.0,9.4,
119,1.7,28.0,9.0,8.3,
120,1.7,29.0,9.0,5.4,
121,1.7,28.0,11.0,3.9,
122,1.5,28.0,11.0,4.0,
123,1.5,28.0,10.0,4.4,
124,1.5,27.0,10.0,4.5,
125,1.8,27.0,8.0,5.0,
126,1.7,29.0,8.0,3.1,
127,1.4,28.0,7.0,1.9,
128,1.3,28.0,7.0,2.3,
129,1.7,28.0,6.0,4.6,
130,1.8,30.0,7.0,5.9,
131,1.8,30.0,7.0,5.6,
132,1.8,30.0,8.0,5.6,
133,1.9,30.0,7.0,3.9,
134,2.0,30.0,7.0,5.1,
135,1.9,29.0,7.0,5.7,
136,1.7,29.0,7.0,4.9,
137,1.8,28.0,6.0,5.1,
138,1.8,28.0,6.0,5.6,
139,1.8,26.0,6.0,7.6,
140,1.7,26.0,6.0,8.2,
141,1.7,28.0,6.0,8.8,
142,1.7,26.0,5.0,6.7,
143,1.7,26.0,4.0,5.2,
144,1.7,26.0,4.0,6.0,
145,1.8,24.0,4.0,4.6,
146,1.7,22.0,4.0,3.9,
147,1.7,22.0,3.0,3.9,
148,1.8,20.0,2.0,2.8,
149,1.8,18.0,1.0,3.8,
150,1.8,18.0,1.0,3.9,
151,1.7,16.0,1.0,3.4,
152,1.8,16.0,1.0,5.1,
153,1.8,18.0,1.0,6.7,
154,2.0,20.0,1.0,7.6,
155,2.0,20.0,2.0,5.1,
156,2.3,18.0,2.0,6.3,
157,2.0,19.0,2.0,6.1,
158,2.0,19.0,2.0,5.7,
159,1.8,18.0,3.0,5.5,
160,1.8,21.0,4.0,5.0,
161,1.7,22.0,5.0,4.4,
162,1.5,24.0,6.0,4.5,
163,1.4,26.0,6.0,5.1,
164,1.5,25.0,6.0,8.6,
165,1.4,26.0,5.0,6.8,
166,1.5,24.0,5.0,5.7,
167,1.7,24.0,5.0,6.3,
168,1.5,25.0,5.0,4.9,
169,1.7,23.0,5.0,4.5,
170,1.5,24.0,5.0,3.1,
171,1.5,24.0,6.0,1.8,
172,1.8,24.0,6.0,2.6,
173,1.8,25.0,6.0,2.6,
174,1.7,24.0,5.0,2.4,
175,1.5,24.0,5.0,2.4,
176,1.7,24.0,5.0,3.8,
177,1.8,25.0,5.0,3.9,
