,SO2,CO,O3,PM10,PM25,NO2,NO,pr
0,2.1,0.92,2.3,38.0,28.0,26.0,17.0,
1,2.7,0.92,2.3,33.0,22.0,25.0,22.0,
2,2.5,0.48,11.0,36.0,18.0,14.0,1.5,
3,2.0,0.43,10.0,25.0,17.0,12.0,1.8,
4,1.5,0.57,7.4,13.0,17.0,13.0,4.8,
5,1.8,0.66,3.0,5.0,17.0,16.0,8.1,
6,2.6,0.76,2.8,15.0,12.0,17.0,12.0,
7,3.2,1.09,4.0,25.0,13.0,21.0,28.0,
8,3.0,0.86,14.0,36.0,15.0,22.0,16.0,
9,2.6,0.78,22.0,39.0,19.0,22.0,9.6,
10,2.1,0.7,30.0,37.0,16.0,22.0,8.2,
11,1.9,0.62,41.0,31.0,19.0,20.0,5.2,
12,1.5,0.58,53.0,38.0,25.0,16.0,3.4,
13,1.5,0.54,56.0,45.0,26.0,13.0,2.7,
14,2.2,0.57,54.0,53.0,26.0,15.0,2.7,
15,2.6,0.58,48.0,51.0,20.0,20.0,3.1,
16,2.6,0.64,38.0,52.0,26.0,24.0,3.0,
17,2.8,0.84,15.0,53.0,27.0,33.0,3.3,
18,3.2,0.93,8.4,59.0,26.0,36.0,4.6,
19,3.0,0.84,9.0,57.0,26.0,31.0,3.1,
20,2.2,0.68,16.0,55.0,22.0,22.0,2.3,
21,2.3,0.73,11.0,49.0,22.0,25.0,2.7,
22,2.4,0.72,12.0,40.0,11.0,24.0,2.5,
23,2.0,0.67,12.0,28.0,16.0,21.0,1.9,
24,1.9,0.67,7.0,23.0,12.0,23.0,2.8,
25,3.8,0.63,7.2,32.0,19.0,22.0,2.6,
26,3.6,0.59,9.7,41.0,20.0,21.0,1.8,
27,2.5,0.5,12.0,42.0,24.0,14.0,1.3,
28,2.8,0.45,13.0,37.0,20.0,16.0,1.1,
29,2.3,0.47,13.0,31.0,17.0,16.0,1.2,
30,2.8,0.6,10.0,32.0,16.0,20.0,6.0,
31,4.9,1.04,4.5,40.0,15.0,25.0,24.0,
32,5.2,1.2,6.1,57.0,26.0,29.0,35.0,
33,3.5,1.04,15.0,58.0,24.0,30.0,19.0,
34,3.5,1.04,15.0,54.0,29.0,30.0,19.0,
35,1.7,0.55,15.0,46.0,22.0,16.0,4.2,
36,1.8,0.52,15.0,46.0,22.0,15.0,3.1,
37,1.8,0.52,54.0,46.0,38.0,15.0,3.1,
38,1.8,0.52,62.0,52.0,33.0,15.0,3.1,
39,1.7,0.52,61.0,64.0,27.0,15.0,3.1,
40,2.2,0.79,50.0,71.0,20.0,15.0,3.1,
41,2.5,0.81,31.0,72.0,36.0,36.0,2.5,
42,2.4,0.71,31.0,78.0,44.0,25.0,1.2,
43,2.7,0.79,21.0,82.0,47.0,30.0,1.2,
44,3.4,0.97,7.6,86.0,45.0,41.0,4.3,
45,4.2,0.81,6.4,79.0,53.0,38.0,3.0,
46,3.4,0.86,3.8,82.0,58.0,34.0,9.1,
47,2.4,0.8,2.7,86.0,58.0,31.0,9.2,
48,3.8,0.74,3.0,88.0,53.0,33.0,5.4,
49,2.7,0.72,2.2,90.0,46.0,28.0,7.7,
50,5.6,0.7,2.6,85.0,39.0,28.0,6.0,
51,5.4,0.68,3.5,86.0,42.0,29.0,3.7,
52,3.8,0.64,3.7,89.0,45.0,25.0,6.4,
53,3.0,0.7,2.1,87.0,42.0,22.0,14.0,
54,3.4,0.84,2.9,81.0,45.0,21.0,24.0,
55,6.3,1.46,2.8,79.0,47.0,24.0,64.0,
56,6.0,1.48,6.3,88.0,56.0,34.0,52.0,
57,5.6,1.34,15.0,88.0,49.0,49.0,29.0,
58,4.5,1.13,31.0,92.0,45.0,49.0,14.0,
59,3.3,0.7,48.0,100.0,49.0,34.0,7.1,
60,3.2,0.54,67.0,106.0,47.0,24.0,3.6,
61,2.4,0.44,74.0,95.0,46.0,19.0,2.5,
62,2.4,0.49,65.0,83.0,38.0,20.0,3.0,
63,2.4,0.51,56.0,85.0,40.0,22.0,3.3,
64,2.3,0.59,41.0,98.0,40.0,26.0,3.2,
65,2.5,0.72,31.0,97.0,42.0,28.0,2.3,
66,2.6,0.81,20.0,95.0,39.0,33.0,3.4,
67,2.5,0.67,20.0,84.0,46.0,27.0,2.5,
68,2.8,0.94,8.1,81.0,40.0,38.0,5.8,
69,3.5,0.68,12.0,77.0,42.0,31.0,3.0,
70,2.8,0.61,14.0,79.0,39.0,26.0,1.8,
71,2.7,0.84,3.6,79.0,46.0,33.0,6.8,
72,2.5,0.8,2.3,75.0,39.0,30.0,9.7,
73,4.0,0.64,3.0,74.0,31.0,29.0,5.2,
74,4.7,0.61,3.9,77.0,28.0,29.0,3.3,
75,2.7,0.6,2.4,81.0,31.0,26.0,3.9,
76,3.5,0.54,3.1,74.0,25.0,27.0,2.3,
77,3.4,0.64,2.7,68.0,32.0,27.0,6.6,
78,3.9,0.81,2.4,69.0,36.0,25.0,18.0,
79,4.0,1.32,3.6,79.0,43.0,24.0,34.0,
80,4.5,1.49,5.5,81.0,48.0,32.0,47.0,
81,4.2,1.22,12.0,90.0,54.0,44.0,28.0,
82,2.7,0.53,28.0,98.0,59.0,21.0,5.6,
83,2.4,0.55,37.0,100.0,46.0,20.0,5.5,
84,2.0,0.51,49.0,97.0,38.0,18.0,3.6,
85,1.7,0.45,46.0,80.0,36.0,17.0,3.2,
86,1.6,0.42,39.0,82.0,32.0,18.0,3.8,
87,1.1,0.43,38.0,72.0,32.0,17.0,3.6,
88,0.9,0.41,33.0,71.0,26.0,16.0,2.6,
89,1.0,0.56,22.0,54.0,24.0,22.0,2.5,
90,1.0,0.56,19.0,41.0,19.0,23.0,2.1,
91,0.6,0.43,21.0,35.0,26.0,17.0,1.7,
92,0.8,0.4,22.0,38.0,19.0,15.0,1.7,
93,1.3,0.47,16.0,36.0,19.0,20.0,2.0,
94,1.2,0.54,13.0,31.0,13.0,22.0,2.1,
95,1.1,0.47,13.0,35.0,16.0,20.0,2.1,
96,1.6,0.38,13.0,43.0,18.0,18.0,1.5,
97,2.0,0.36,9.7,50.0,14.0,19.0,1.8,
98,1.9,0.36,11.0,44.0,25.0,18.0,1.8,
99,2.3,0.27,15.0,44.0,18.0,14.0,2.1,
100,2.7,0.27,14.0,41.0,25.0,15.0,1.9,
101,2.6,0.27,14.0,43.0,18.0,16.0,1.7,
102,2.5,0.35,13.0,39.0,20.0,19.0,3.3,
103,3.7,0.49,11.0,30.0,15.0,22.0,5.3,
104,3.4,0.61,13.0,26.0,10.0,24.0,7.4,
105,2.6,0.56,16.0,22.0,9.0,23.0,7.9,
106,3.3,0.53,19.0,34.0,4.0,23.0,7.9,
107,2.5,0.63,22.0,39.0,14.0,23.0,8.5,
108,3.2,0.69,22.0,49.0,13.0,25.0,6.7,
109,3.7,0.71,15.0,47.0,17.0,27.0,7.8,
110,3.7,0.71,13.0,47.0,17.0,27.0,7.8,
111,3.7,0.71,13.0,47.0,23.0,27.0,7.8,
112,2.6,0.84,8.6,38.0,14.0,32.0,7.4,
113,2.7,0.86,8.2,38.0,16.0,31.0,5.5,
114,2.3,0.86,7.3,41.0,12.0,32.0,4.0,
115,2.0,0.77,9.3,30.0,10.0,27.0,2.8,
116,2.0,0.77,8.8,21.0,14.0,26.0,3.4,
117,2.0,0.84,5.1,12.0,13.0,29.0,4.7,
118,2.0,0.84,5.1,12.0,13.0,29.0,4.7,
119,2.1,0.66,13.0,22.0,11.0,19.0,1.8,
120,2.4,0.6,18.0,24.0,18.0,16.0,1.8,
121,1.4,0.57,19.0,18.0,11.0,12.0,1.7,
122,1.4,0.53,21.0,19.0,9.0,12.0,1.6,
123,1.2,0.51,27.0,12.0,9.0,10.0,1.9,
124,1.2,0.45,30.0,6.0,2.0,9.8,2.1,
125,1.5,0.42,35.0,4.0,2.0,9.2,2.2,
126,1.8,0.43,35.0,4.0,10.0,11.0,1.9,
127,1.7,0.52,31.0,5.0,10.0,14.0,2.8,
128,1.7,0.63,22.0,7.0,11.0,21.0,3.7,
129,1.4,0.65,17.0,13.0,6.0,24.0,6.4,
130,1.9,0.66,17.0,12.0,5.0,24.0,9.2,
131,1.7,0.68,17.0,10.0,12.0,26.0,9.4,
132,1.8,0.77,21.0,9.0,11.0,25.0,8.8,
133,2.2,0.57,31.0,13.0,12.0,19.0,5.7,
134,1.5,0.55,33.0,20.0,8.0,15.0,4.8,
135,1.6,0.51,33.0,22.0,6.0,16.0,4.0,
136,2.2,0.5,28.0,21.0,2.0,17.0,3.9,
137,1.9,0.56,21.0,15.0,8.0,21.0,3.2,
138,2.2,0.62,20.0,9.0,8.0,22.0,2.1,
139,2.4,0.66,20.0,22.0,17.0,23.0,2.4,
140,1.9,0.65,17.0,31.0,20.0,23.0,2.4,
141,1.8,0.54,24.0,44.0,17.0,18.0,2.5,
142,1.6,0.53,21.0,44.0,24.0,19.0,2.2,
143,1.5,0.52,19.0,42.0,22.0,17.0,2.0,
144,1.0,0.48,19.0,35.0,19.0,13.0,2.1,
145,2.1,0.49,16.0,27.0,19.0,16.0,2.6,
146,2.0,0.39,22.0,23.0,15.0,13.0,2.1,
147,2.7,0.35,21.0,26.0,15.0,12.0,1.0,
148,2.5,0.31,21.0,18.0,11.0,11.0,1.5,
149,2.9,0.28,23.0,12.0,11.0,10.0,1.3,
150,2.7,0.28,23.0,8.0,11.0,11.0,1.1,
151,1.8,0.31,25.0,13.0,11.0,11.0,1.6,
152,2.2,0.39,22.0,16.0,12.0,15.0,2.5,
153,2.4,0.44,20.0,12.0,12.0,18.0,3.2,
154,2.5,0.4,23.0,11.0,8.0,17.0,3.9,
155,2.1,0.4,22.0,16.0,6.0,16.0,5.0,
156,2.3,0.46,23.0,13.0,12.0,16.0,5.5,
157,2.4,0.38,27.0,21.0,11.0,15.0,3.8,
158,2.7,0.37,27.0,16.0,13.0,14.0,3.7,
159,2.4,0.35,24.0,19.0,5.0,15.0,4.3,
160,2.2,0.33,23.0,16.0,7.0,15.0,2.7,
161,2.4,0.42,16.0,14.0,12.0,21.0,2.5,
162,2.9,0.44,14.0,23.0,15.0,23.0,2.2,
163,2.3,0.47,12.0,19.0,12.0,23.0,2.1,
164,2.9,0.36,15.0,23.0,6.0,19.0,2.2,
165,3.0,0.4,12.0,16.0,3.0,21.0,2.3,
166,3.0,0.43,10.0,15.0,3.0,23.0,2.3,
167,2.5,0.39,11.0,9.0,2.0,20.0,1.7,
168,2.5,0.27,19.0,9.0,6.0,13.0,1.6,
169,2.2,0.25,14.0,7.0,6.0,13.0,1.3,
170,2.4,0.2,20.0,8.0,5.0,8.8,1.5,
171,2.2,0.2,19.0,3.0,5.0,9.3,1.3,
172,2.0,0.24,17.0,1.0,9.0,11.0,1.3,
173,2.0,0.47,12.0,1.0,6.0,18.0,4.3,
174,2.4,0.61,15.0,1.0,6.0,21.0,11.0,
175,3.6,0.51,14.0,8.0,8.0,25.0,13.0,
176,3.0,0.43,17.0,22.0,12.0,22.0,7.9,
177,2.7,0.43,21.0,32.0,12.0,21.0,7.3,
178,2.6,0.38,24.0,29.0,8.0,20.0,6.2,
179,2.3,0.38,29.0,22.0,3.0,18.0,4.7,
180,2.3,0.44,30.0,15.0,11.0,21.0,4.9,
181,2.7,0.48,22.0,11.0,10.0,25.0,5.8,
182,3.0,0.8,7.3,10.0,13.0,35.0,9.8,
183,3.3,0.77,3.6,19.0,7.0,36.0,9.5,
184,4.1,0.97,2.4,29.0,9.0,34.0,20.0,
185,4.4,1.04,2.7,32.0,11.0,33.0,31.0,
186,3.7,0.87,2.5,37.0,6.0,33.0,26.0,
187,3.7,0.79,2.6,36.0,16.0,31.0,26.0,
