,SO2,CO,O3,PM10,PM25,NO2,pr
0,1.0,0.88,3.4,28.0,14.0,17.8,
1,1.8,0.87,2.0,44.0,18.0,18.8,
2,1.6,0.87,1.8,39.0,16.0,18.6,
3,1.6,0.87,2.7,34.0,16.0,15.6,
4,1.6,0.85,2.2,42.0,19.0,15.2,
5,2.2,0.76,12.7,29.0,18.0,16.9,
6,2.1,0.66,16.7,32.0,18.0,17.8,
7,2.1,0.54,22.5,29.0,12.0,16.4,
8,2.1,0.58,31.1,26.0,7.0,13.6,
9,2.2,0.62,36.0,38.0,15.0,14.5,
10,2.6,0.67,34.0,45.0,11.0,17.6,
11,2.7,0.57,30.0,50.0,11.0,14.3,
12,2.6,0.53,28.0,28.0,8.0,13.0,
13,2.6,0.57,23.0,26.0,12.0,15.0,
14,2.7,0.61,16.0,32.0,9.0,17.2,
15,2.6,0.85,10.0,29.0,7.0,20.0,
16,2.2,0.69,12.0,27.0,11.0,15.7,
17,2.0,0.44,13.0,21.0,11.0,14.6,
18,1.8,0.51,10.0,27.0,16.0,15.3,
19,1.8,0.67,8.0,21.0,13.0,16.4,
20,1.7,0.74,14.0,20.0,10.0,14.6,
21,1.7,0.61,13.0,13.0,10.0,13.2,
22,1.9,0.39,15.0,11.0,4.0,11.2,
23,2.0,0.39,16.0,12.0,4.0,8.7,
24,2.2,0.57,8.0,22.0,6.0,17.7,
25,2.3,0.53,8.0,22.0,6.0,17.1,
26,2.2,0.66,5.0,22.0,12.0,23.0,
27,2.7,0.84,4.0,25.0,14.0,27.1,
28,3.1,1.61,2.0,34.0,14.0,26.9,
29,2.9,1.49,2.0,33.0,20.0,25.0,
30,2.2,1.1,2.0,28.0,14.0,18.0,
31,1.8,0.87,1.0,28.0,9.0,15.0,
32,1.9,0.7,1.0,24.0,9.0,13.0,
33,2.1,0.85,2.0,27.0,13.0,11.1,
34,2.0,0.53,2.0,14.0,7.0,10.4,
35,2.0,0.53,3.0,21.0,7.0,8.2,
36,2.0,0.53,3.0,20.0,6.0,6.4,
37,2.0,0.36,4.0,20.0,6.0,6.2,
38,1.9,0.39,6.0,20.0,6.0,6.2,
39,1.9,0.41,6.0,16.0,6.0,6.2,
40,1.7,0.62,0.0,15.0,6.0,12.3,
41,1.5,0.74,2.0,13.0,11.0,12.8,
42,1.4,1.12,1.0,19.0,13.0,14.7,
43,1.5,0.93,2.0,15.0,10.0,14.7,
44,1.4,0.65,5.0,17.0,11.0,14.7,
45,1.8,0.68,7.0,14.0,5.0,12.9,
46,2.1,0.79,10.0,18.0,10.0,14.7,
47,1.9,0.66,7.0,19.0,9.0,14.8,
48,1.7,0.54,6.0,16.0,6.0,11.5,
49,1.6,0.64,3.0,9.0,10.0,11.5,
50,2.1,0.95,3.0,9.0,11.0,11.5,
51,2.0,1.14,0.0,26.0,14.0,11.5,
52,1.7,1.16,1.0,24.0,13.0,13.2,
53,1.7,1.05,1.0,26.0,12.0,11.3,
54,1.8,1.11,1.0,29.0,6.0,10.6,
55,1.6,0.92,1.0,24.0,6.0,9.1,
56,1.5,0.68,1.0,22.0,6.0,9.8,
57,1.6,0.64,2.0,26.0,6.0,9.0,
58,1.7,0.64,2.0,19.0,6.0,7.6,
59,1.7,0.64,1.0,21.0,5.0,6.5,
60,1.7,0.63,2.0,25.0,5.0,6.3,
61,2.2,0.65,2.0,27.0,12.0,6.3,
62,2.7,0.75,2.0,21.0,12.0,6.3,
63,3.4,1.08,0.0,28.0,12.0,8.7,
64,2.4,1.2,0.0,40.0,13.0,10.9,
65,3.1,1.76,0.0,42.0,24.0,21.1,
66,2.4,1.2,22.0,32.0,19.0,19.9,
67,2.9,1.13,39.0,38.0,19.0,25.7,
68,3.4,0.86,27.0,45.0,21.0,16.6,
69,2.4,0.82,31.0,45.0,21.0,12.8,
70,2.0,0.64,32.0,40.0,14.0,11.7,
71,2.0,0.62,32.0,33.0,14.0,12.9,
72,2.1,0.69,32.0,45.0,15.0,12.9,
73,2.2,0.96,26.0,39.0,15.0,18.9,
74,2.9,1.15,23.0,50.0,15.0,22.8,
75,2.5,1.16,14.0,48.0,20.0,22.7,
76,2.2,1.12,11.0,42.0,20.0,19.9,
77,2.0,0.97,10.0,44.0,20.0,19.3,
78,1.9,1.11,8.0,42.0,20.0,20.3,
79,2.0,1.15,7.0,45.0,21.0,19.6,
80,2.3,1.07,3.0,49.0,23.0,20.8,
81,2.3,0.52,6.0,50.0,20.0,15.8,
82,2.3,0.52,6.0,49.0,22.0,15.7,
83,2.3,0.52,4.0,49.0,21.0,16.7,
84,2.3,0.45,4.0,43.0,19.0,16.5,
85,2.0,0.39,5.0,30.0,13.0,16.5,
86,1.9,0.44,5.0,29.0,12.0,16.5,
87,1.9,0.56,0.0,27.0,16.0,15.9,
88,1.7,0.91,6.0,34.0,16.0,14.0,
89,1.5,0.84,6.0,30.0,16.0,13.5,
90,2.0,0.49,0.0,43.0,12.0,14.0,
91,2.1,0.5,0.0,41.0,14.0,15.6,
