,SO2,CO,O3,PM10,PM25,NO2,pr
0,0.9,0.21,20.0,24.0,8.0,6.5,
1,1.0,0.2,20.0,24.0,11.0,5.7,
2,1.1,0.2,21.0,25.0,11.0,6.5,
3,1.2,0.2,21.0,23.0,11.0,6.3,
4,1.2,0.27,14.0,24.0,7.0,10.0,
5,1.1,0.37,9.7,23.0,9.0,15.0,
6,1.5,0.52,10.0,27.0,7.0,18.0,
7,1.7,0.47,15.0,29.0,7.0,19.0,
8,2.9,0.31,26.0,39.0,5.0,13.0,
9,5.3,0.33,20.0,52.0,12.0,19.0,
10,2.8,0.31,31.0,47.0,18.0,14.0,
11,4.5,0.32,35.0,43.0,22.0,17.0,
12,5.0,0.34,43.0,53.0,29.0,15.0,
13,3.9,0.35,53.0,56.0,32.0,12.0,
14,5.2,0.49,48.0,70.0,38.0,19.0,
15,2.4,0.5,49.0,58.0,28.0,13.0,
16,2.3,0.61,37.0,55.0,28.0,17.0,
17,2.0,0.64,25.0,56.0,28.0,19.0,
18,1.8,0.6,21.0,50.0,28.0,17.0,
19,1.8,0.55,20.0,41.0,20.0,15.0,
20,1.3,0.61,13.0,38.0,15.0,18.0,
21,1.2,0.56,10.0,38.0,9.0,15.0,
22,1.1,0.48,13.0,36.0,10.0,13.0,
23,0.3,0.38,24.0,20.0,4.0,9.3,
24,1.2,0.4,15.0,26.0,13.0,9.0,
25,1.2,0.38,23.0,19.0,13.0,5.0,
26,1.3,0.34,29.0,19.0,10.0,4.5,
27,1.3,0.33,29.0,19.0,7.0,4.5,
28,1.1,0.34,24.0,20.0,7.0,6.9,
29,1.4,0.51,11.0,29.0,7.0,15.0,
30,1.6,0.43,21.0,29.0,9.0,9.4,
31,1.6,0.36,31.0,27.0,10.0,5.8,
32,2.1,0.39,34.0,32.0,12.0,6.2,
33,2.1,0.42,39.0,35.0,15.0,6.8,
34,2.3,0.44,47.0,40.0,15.0,6.0,
35,2.7,0.47,51.0,41.0,18.0,8.8,
36,2.6,0.46,54.0,44.0,17.0,8.2,
37,2.2,0.48,51.0,48.0,22.0,8.2,
38,2.2,0.52,42.0,50.0,26.0,11.0,
39,1.9,0.62,28.0,52.0,25.0,17.0,
40,1.8,0.57,26.0,39.0,18.0,16.0,
41,1.8,0.55,22.0,45.0,21.0,15.0,
42,1.5,0.54,20.0,39.0,23.0,13.0,
43,1.3,0.5,23.0,29.0,24.0,9.5,
44,1.1,0.49,21.0,28.0,15.0,9.0,
45,1.4,0.46,22.0,27.0,20.0,6.7,
46,2.2,0.47,14.0,29.0,18.0,6.9,
47,1.3,0.45,13.0,32.0,24.0,7.7,
48,1.0,0.43,10.0,30.0,14.0,7.3,
49,0.9,0.41,13.0,27.0,14.0,7.9,
50,0.9,0.36,16.0,28.0,10.0,6.4,
51,0.8,0.37,16.0,24.0,5.0,6.6,
52,0.8,0.38,20.0,25.0,9.0,6.8,
53,1.2,0.52,18.0,29.0,4.0,13.0,
54,1.3,0.47,17.0,30.0,12.0,15.0,
55,1.9,0.4,20.0,36.0,11.0,13.0,
56,3.1,0.4,28.0,39.0,14.0,11.0,
57,2.1,0.39,38.0,42.0,16.0,8.1,
58,2.0,0.4,48.0,38.0,19.0,7.2,
59,2.1,0.37,55.0,39.0,25.0,7.1,
60,1.8,0.32,58.0,42.0,21.0,6.8,
61,1.9,0.28,53.0,38.0,27.0,7.3,
62,2.3,0.34,49.0,50.0,18.0,12.0,
63,4.5,0.59,34.0,84.0,27.0,28.0,
64,2.4,0.63,22.0,73.0,24.0,26.0,
65,1.7,0.62,15.0,58.0,40.0,24.0,
66,1.6,0.62,18.0,62.0,38.0,21.0,
67,1.4,0.59,20.0,55.0,40.0,17.0,
68,1.2,0.49,21.0,46.0,29.0,14.0,
69,1.2,0.44,19.0,37.0,27.0,13.0,
70,0.3,0.34,20.0,34.0,15.0,7.9,
71,0.6,0.26,20.0,29.0,9.0,7.3,
