,SO2,CO,O3,PM10,PM25,NO2,pr
0,1.5,0.3,15,26.0,10.0,2.8,
1,2.1,0.3,16,25.0,10.0,4.6,
2,2.1,0.3,16,25.0,10.0,4.6,
3,2.4,0.3,18,24.0,10.0,4.3,
4,2.7,0.3,20,26.0,10.0,8.7,
5,3.0,0.2,25,24.0,10.0,6.0,
6,3.0,0.2,27,28.0,9.0,7.1,
7,3.5,0.2,28,31.0,9.0,7.2,
8,6.0,0.3,29,36.0,9.0,8.5,
9,6.0,0.3,31,42.0,9.0,8.1,
10,2.0,0.3,33,50.0,9.0,8.1,
11,1.9,0.3,34,63.0,9.0,8.1,
12,2.5,0.4,34,67.0,9.0,17.3,
13,2.2,0.4,34,64.0,9.0,14.4,
14,1.3,0.4,33,66.0,8.0,12.6,
15,1.4,0.4,32,68.0,8.0,12.3,
16,1.3,0.4,31,74.0,8.0,9.8,
17,1.3,0.4,29,78.0,8.0,8.1,
18,1.3,0.4,28,78.0,8.0,7.7,
19,1.4,0.4,28,70.0,8.0,8.3,
20,1.4,0.4,28,70.0,8.0,8.3,
21,2.1,0.4,28,48.0,8.0,8.1,
22,2.7,0.4,28,36.0,8.0,8.1,
23,2.1,0.4,28,33.0,7.0,8.2,
24,0.8,0.5,19,23.0,13.0,10.9,
25,0.8,0.5,20,24.0,15.0,20.8,
26,1.4,0.6,21,26.0,16.0,19.2,
27,2.1,0.6,22,30.0,17.0,24.0,
28,2.4,0.57,24,30.0,16.0,17.1,
29,1.7,0.59,23,31.0,16.0,22.7,
30,1.5,0.61,19,32.0,18.0,21.9,
31,1.1,0.62,16,31.0,18.0,15.5,
32,0.8,0.62,13,32.0,19.0,11.8,
33,0.9,0.61,12,32.0,18.0,9.2,
34,1.1,0.61,11,30.0,16.0,10.1,
35,1.3,0.59,9,28.0,14.0,8.2,
36,1.3,0.59,9,28.0,14.0,8.2,
37,1.3,0.59,0,28.0,14.0,8.2,
38,1.3,0.59,0,28.0,14.0,8.2,
39,1.3,0.59,0,28.0,14.0,8.2,
40,0.6,0.52,7,18.0,9.0,4.5,
41,0.9,0.52,7,16.0,8.0,6.4,
42,1.3,0.51,7,15.0,7.0,6.8,
43,1.4,0.53,7,14.0,6.0,8.6,
44,1.5,0.51,8,14.0,6.0,10.0,
45,1.0,0.43,10,12.0,6.0,5.8,
46,1.1,0.44,12,12.0,6.0,6.6,
47,0.9,0.45,12,11.0,6.0,9.2,
48,0.8,0.45,13,12.0,5.0,7.6,
49,1.2,0.45,14,12.0,5.0,9.7,
50,1.5,0.45,15,14.0,5.0,11.3,
51,1.4,0.46,14,14.0,5.0,10.9,
52,1.6,0.48,13,16.0,6.0,12.9,
53,1.4,0.49,11,18.0,6.0,8.5,
54,1.1,0.5,9,17.0,7.0,10.2,
55,1.2,0.5,8,17.0,7.0,10.2,
56,0.9,0.5,6,18.0,7.0,10.8,
57,0.5,0.5,5,19.0,6.0,9.2,
