,SO2,CO,O3,PM10,PM25,NO2,pr
0,1.5,0.1,25.0,66.0,10.0,3.1,
1,1.1,0.1,24.0,60.0,10.0,2.3,
2,0.7,0.1,25.0,56.0,9.0,1.1,
3,0.7,0.1,26.0,50.0,9.0,0.2,
4,2.1,0.1,28.0,46.0,8.0,2.6,
5,2.0,0.1,28.0,43.0,8.0,1.2,
6,2.1,0.1,30.0,40.0,7.0,2.9,
7,0.4,0.1,38.0,84.0,12.0,2.9,
8,0.7,0.1,41.0,98.0,13.0,3.0,
9,0.4,0.1,43.0,112.0,13.0,3.2,
10,0.6,0.1,45.0,124.0,18.0,1.0,
11,0.7,0.2,48.0,141.0,20.0,0.6,
12,0.4,0.2,49.0,164.0,21.0,0.4,
13,0.4,0.2,49.0,164.0,21.0,0.4,
14,0.4,0.2,49.0,156.0,19.0,2.5,
15,0.4,0.2,49.0,139.0,17.0,3.9,
16,0.4,0.2,48.0,121.0,16.0,4.3,
17,0.8,0.2,46.0,114.0,15.0,5.5,
18,1.0,0.2,45.0,115.0,15.0,3.1,
19,1.3,0.2,43.0,110.0,16.0,2.6,
20,1.5,0.2,43.0,104.0,16.0,1.3,
21,1.5,0.2,42.0,96.0,15.0,0.6,
22,1.5,0.2,43.0,80.0,13.0,0.6,
23,1.5,0.2,43.0,60.0,11.0,0.6,
24,1.5,0.2,44.0,44.0,8.0,0.8,
25,0.7,0.2,45.0,34.0,7.0,0.8,
26,0.7,0.4,25.0,38.0,12.0,5.9,
27,0.7,0.4,25.0,34.0,14.0,11.7,
28,1.3,0.5,24.0,30.0,16.0,20.9,
29,1.2,0.5,24.0,28.0,18.0,19.1,
30,1.1,0.52,24.0,31.0,17.0,15.0,
31,1.7,0.53,23.0,42.0,18.0,13.3,
32,1.2,0.56,22.0,48.0,18.0,16.4,
33,0.8,0.61,19.0,48.0,19.0,18.0,
34,1.6,0.66,17.0,48.0,21.0,16.7,
35,2.3,0.69,16.0,41.0,24.0,14.3,
36,3.2,0.71,14.0,36.0,26.0,13.9,
37,1.7,0.7,12.0,35.0,26.0,9.2,
38,1.0,0.69,11.0,34.0,25.0,6.4,
39,0.4,0.66,11.0,34.0,24.0,3.7,
40,0.4,0.61,11.0,34.0,21.0,4.6,
41,0.4,0.53,12.0,32.0,19.0,1.3,
42,1.6,0.46,14.0,29.0,17.0,1.8,
43,0.6,0.4,15.0,24.0,15.0,3.7,
44,1.2,0.35,17.0,20.0,14.0,5.0,
45,1.2,0.34,19.0,20.0,13.0,7.2,
46,1.0,0.34,20.0,20.0,12.0,6.5,
47,0.8,0.35,22.0,18.0,10.0,4.6,
48,0.4,0.37,23.0,16.0,9.0,7.6,
49,1.5,0.39,25.0,16.0,9.0,8.6,
50,2.0,0.41,26.0,16.0,10.0,8.7,
51,1.2,0.44,27.0,18.0,12.0,9.6,
52,0.7,0.43,29.0,20.0,13.0,3.5,
53,1.5,0.42,32.0,23.0,15.0,2.0,
54,2.2,0.42,33.0,25.0,13.0,3.2,
55,2.0,0.43,35.0,28.0,13.0,1.2,
56,2.0,0.4,37.0,30.0,12.0,1.5,
57,2.0,0.4,36.0,30.0,11.0,2.6,
58,1.7,0.4,35.0,30.0,12.0,4.5,
