,SO2,O3,PM10,PM25,NO2,pr
0,1.6,16,35.0,8.0,10.0,
1,1.8,15,32.0,7.0,10.9,
2,2.1,15,30.0,7.0,9.0,
3,1.6,15,31.0,6.0,9.6,
4,2.0,16,30.0,6.0,11.7,
5,2.1,17,30.0,7.0,9.0,
6,2.5,19,32.0,7.0,10.6,
7,2.1,25,45.0,9.0,11.2,
8,2.3,27,51.0,9.0,11.4,
9,1.8,28,56.0,9.0,11.8,
10,2.2,30,68.0,9.0,11.6,
11,2.3,31,78.0,9.0,11.6,
12,2.5,32,96.0,9.0,11.5,
13,2.7,33,107.0,10.0,13.1,
14,2.3,33,107.0,10.0,12.6,
15,2.2,33,110.0,9.0,14.0,
16,2.6,32,97.0,9.0,13.6,
17,1.7,31,88.0,9.0,11.2,
18,1.0,30,84.0,8.0,10.5,
19,1.0,29,76.0,9.0,8.5,
20,1.2,28,75.0,8.0,9.0,
21,1.6,28,68.0,8.0,9.5,
22,2.3,27,61.0,8.0,12.1,
23,2.3,27,52.0,7.0,12.1,
24,2.5,28,41.0,7.0,11.4,
25,1.8,28,35.0,6.0,9.0,
26,2.1,13,32.0,13.0,19.9,
27,2.1,14,32.0,17.0,20.8,
28,2.5,15,34.0,20.0,22.3,
29,2.6,15,34.0,21.0,23.6,
30,2.6,14,37.0,20.0,29.7,
31,2.7,12,40.0,21.0,24.4,
32,2.5,9,44.0,22.0,25.6,
33,2.6,7,45.0,23.0,26.0,
34,2.6,6,48.0,25.0,26.4,
35,2.6,4,48.0,24.0,21.2,
36,2.6,3,46.0,23.0,19.4,
37,2.3,3,42.0,22.0,14.0,
38,2.3,3,40.0,20.0,16.0,
39,2.3,3,38.0,20.0,13.8,
40,2.3,3,38.0,20.0,13.8,
41,2.1,4,34.0,17.0,9.8,
42,2.2,4,30.0,15.0,15.4,
43,2.3,5,28.0,12.0,14.2,
44,2.2,5,24.0,9.0,16.8,
45,2.1,5,21.0,8.0,19.0,
46,2.5,5,18.0,8.0,21.5,
47,2.1,8,17.0,8.0,14.4,
48,2.0,9,18.0,8.0,15.4,
49,2.0,10,17.0,8.0,18.4,
50,2.2,12,16.0,8.0,13.6,
51,2.5,14,16.0,9.0,15.8,
52,2.2,14,16.0,10.0,20.8,
53,2.1,16,20.0,11.0,16.8,
54,1.8,16,28.0,12.0,12.3,
55,2.0,16,34.0,12.0,14.2,
