,SO2,CO,O3,PM10,PM25,NO2,pr
0,1.6,0.73,8.7,42.0,19.0,27.0,
1,1.6,0.52,12.0,38.0,21.0,21.0,
2,1.4,0.38,21.0,32.0,17.0,11.0,
3,1.1,0.26,23.0,27.0,10.0,10.0,
4,1.0,0.26,23.0,31.0,10.0,11.0,
5,0.6,0.53,3.4,38.0,17.0,19.0,
6,0.8,0.49,4.5,43.0,18.0,18.0,
7,1.8,0.48,11.0,56.0,24.0,15.0,
8,2.5,0.33,20.0,65.0,30.0,13.0,
9,2.1,0.31,30.0,60.0,29.0,11.0,
10,1.1,0.31,37.0,53.0,29.0,10.0,
11,0.9,0.33,44.0,54.0,25.0,10.0,
12,0.6,0.44,49.0,61.0,23.0,10.0,
13,0.6,0.52,51.0,62.0,23.0,13.0,
14,0.6,0.56,47.0,66.0,23.0,17.0,
15,0.3,0.57,35.0,63.0,23.0,16.0,
16,0.6,0.62,22.0,53.0,18.0,20.0,
17,0.8,0.66,15.0,53.0,18.0,21.0,
18,1.1,0.66,10.0,47.0,22.0,23.0,
19,1.1,0.67,8.4,41.0,24.0,21.0,
20,1.3,0.62,8.8,41.0,22.0,20.0,
21,1.5,0.61,7.9,35.0,13.0,20.0,
22,0.8,0.58,9.4,27.0,12.0,18.0,
23,1.6,0.52,17.0,23.0,10.0,13.0,
24,2.2,0.49,33.0,23.0,10.0,9.1,
25,2.2,0.47,33.0,25.0,14.0,8.1,
26,1.9,0.46,36.0,28.0,13.0,7.5,
27,1.4,0.46,34.0,27.0,12.0,7.7,
28,1.4,0.49,30.0,26.0,14.0,11.0,
29,1.6,0.57,25.0,34.0,18.0,14.0,
30,1.9,0.49,29.0,39.0,14.0,12.0,
31,2.1,0.48,32.0,38.0,13.0,11.0,
32,2.2,0.49,37.0,42.0,19.0,11.0,
33,2.5,0.52,42.0,49.0,21.0,12.0,
34,2.3,0.53,48.0,62.0,21.0,13.0,
35,2.1,0.51,50.0,79.0,27.0,12.0,
36,2.0,0.5,47.0,86.0,23.0,12.0,
37,2.2,0.54,42.0,84.0,23.0,14.0,
38,2.2,0.53,41.0,68.0,30.0,13.0,
39,2.2,0.57,28.0,53.0,24.0,16.0,
40,1.5,0.57,26.0,45.0,19.0,16.0,
41,1.7,0.56,27.0,38.0,21.0,15.0,
42,1.8,0.59,26.0,39.0,21.0,15.0,
43,1.7,0.58,29.0,42.0,21.0,14.0,
44,1.5,0.55,32.0,43.0,23.0,12.0,
45,1.4,0.53,32.0,42.0,24.0,12.0,
46,1.4,0.51,32.0,42.0,22.0,11.0,
47,1.5,0.5,32.0,42.0,23.0,10.0,
48,1.7,0.5,32.0,42.0,25.0,10.0,
49,2.0,0.5,33.0,43.0,29.0,10.0,
50,2.1,0.46,33.0,47.0,31.0,10.0,
51,2.7,0.46,29.0,50.0,29.0,14.0,
52,2.2,0.47,28.0,48.0,28.0,16.0,
53,1.5,0.52,28.0,47.0,25.0,16.0,
54,1.4,0.48,28.0,46.0,24.0,15.0,
55,2.0,0.48,31.0,46.0,25.0,15.0,
56,3.2,0.53,33.0,52.0,24.0,20.0,
57,3.7,0.58,42.0,65.0,28.0,23.0,
58,3.4,0.53,53.0,68.0,29.0,19.0,
59,2.3,0.41,57.0,66.0,25.0,12.0,
60,2.2,0.41,56.0,69.0,26.0,12.0,
61,2.5,0.46,54.0,73.0,36.0,14.0,
62,2.1,0.47,51.0,76.0,39.0,13.0,
63,2.3,0.51,42.0,75.0,36.0,15.0,
64,2.6,0.54,37.0,74.0,38.0,17.0,
65,2.9,0.54,29.0,69.0,38.0,19.0,
66,3.5,0.61,20.0,70.0,35.0,24.0,
67,3.6,0.62,18.0,69.0,34.0,25.0,
68,2.6,0.57,22.0,58.0,31.0,21.0,
69,1.8,0.49,24.0,46.0,29.0,15.0,
70,1.6,0.45,25.0,43.0,28.0,14.0,
71,1.8,0.41,28.0,42.0,26.0,11.0,
72,2.5,0.45,24.0,45.0,26.0,12.0,
73,3.3,0.51,20.0,56.0,32.0,19.0,
74,2.8,0.47,26.0,63.0,33.0,13.0,
75,2.8,0.47,20.0,64.0,32.0,15.0,
76,2.8,0.57,10.0,63.0,35.0,23.0,
77,2.7,0.78,9.2,69.0,35.0,27.0,
78,2.9,0.58,22.0,66.0,34.0,20.0,
79,3.2,0.47,31.0,57.0,33.0,15.0,
80,3.4,0.48,37.0,60.0,33.0,17.0,
81,3.4,0.51,44.0,59.0,28.0,18.0,
82,3.1,0.48,58.0,63.0,23.0,16.0,
83,2.4,0.37,61.0,72.0,21.0,10.0,
84,2.3,0.35,57.0,73.0,18.0,8.7,
85,2.2,0.36,50.0,69.0,21.0,9.3,
86,2.3,0.38,44.0,67.0,27.0,12.0,
87,2.3,0.44,36.0,70.0,26.0,16.0,
88,2.2,0.39,37.0,68.0,23.0,16.0,
89,2.7,0.4,32.0,67.0,20.0,16.0,
90,2.9,0.37,32.0,66.0,16.0,14.0,
91,2.8,0.36,33.0,62.0,16.0,13.0,
92,3.0,0.38,29.0,56.0,21.0,13.0,
93,3.3,0.34,27.0,54.0,23.0,14.0,
94,3.2,0.33,23.0,53.0,18.0,16.0,
95,2.1,0.31,24.0,54.0,17.0,13.0,
96,2.0,0.35,17.0,56.0,25.0,16.0,
97,2.5,0.3,19.0,57.0,25.0,15.0,
98,3.1,0.31,17.0,58.0,23.0,16.0,
99,2.3,0.35,13.0,58.0,28.0,18.0,
100,2.1,0.44,11.0,59.0,29.0,20.0,
101,2.8,0.66,7.7,62.0,35.0,24.0,
102,3.6,0.72,11.0,70.0,44.0,24.0,
103,3.1,0.36,28.0,76.0,37.0,14.0,
104,2.8,0.28,35.0,67.0,25.0,12.0,
105,2.3,0.28,35.0,52.0,19.0,11.0,
106,1.7,0.28,35.0,42.0,15.0,9.5,
107,1.7,0.27,38.0,42.0,10.0,9.5,
108,1.7,0.27,34.0,42.0,10.0,9.5,
109,0.9,0.22,35.0,35.0,10.0,9.5,
110,0.9,0.22,33.0,35.0,10.0,10.0,
111,1.5,0.28,27.0,34.0,9.0,14.0,
112,1.6,0.31,29.0,30.0,7.0,12.0,
113,1.6,0.27,33.0,24.0,7.0,8.4,
114,1.4,0.25,35.0,20.0,6.0,6.8,
115,1.3,0.25,33.0,23.0,2.0,7.6,
116,1.7,0.27,28.0,36.0,2.0,9.2,
117,1.8,0.28,25.0,48.0,7.0,10.0,
118,1.9,0.26,24.0,51.0,11.0,10.0,
119,2.3,0.24,24.0,50.0,9.0,11.0,
120,2.0,0.24,25.0,47.0,10.0,9.4,
121,2.1,0.22,29.0,42.0,12.0,7.4,
122,1.6,0.2,31.0,32.0,12.0,6.6,
123,1.3,0.2,29.0,24.0,10.0,7.2,
124,1.5,0.25,24.0,18.0,5.0,11.0,
125,1.8,0.37,24.0,17.0,6.0,14.0,
126,1.6,0.41,26.0,22.0,7.0,13.0,
127,1.9,0.46,24.0,23.0,6.0,14.0,
128,1.8,0.49,25.0,23.0,10.0,14.0,
129,1.7,0.52,27.0,23.0,10.0,14.0,
130,1.9,0.57,24.0,24.0,12.0,16.0,
131,1.9,0.59,22.0,23.0,13.0,18.0,
132,1.8,0.58,24.0,22.0,8.0,19.0,
133,1.9,0.58,24.0,25.0,7.0,19.0,
134,1.7,0.6,22.0,27.0,8.0,20.0,
135,1.8,0.62,21.0,27.0,8.0,22.0,
136,1.8,0.6,26.0,27.0,15.0,18.0,
137,1.8,0.62,23.0,26.0,18.0,17.0,
138,2.3,0.64,21.0,27.0,17.0,17.0,
139,2.4,0.64,19.0,29.0,22.0,17.0,
140,2.2,0.64,19.0,29.0,21.0,17.0,
141,1.8,0.6,24.0,30.0,17.0,14.0,
142,2.2,0.59,26.0,27.0,15.0,13.0,
143,2.1,0.55,30.0,23.0,13.0,10.0,
144,1.5,0.51,35.0,24.0,10.0,8.9,
145,1.4,0.46,42.0,19.0,8.0,6.5,
146,1.9,0.4,43.0,17.0,13.0,6.4,
147,2.3,0.41,41.0,24.0,20.0,6.8,
148,2.4,0.44,39.0,28.0,22.0,7.1,
149,2.3,0.48,32.0,31.0,21.0,9.5,
150,2.1,0.47,31.0,29.0,15.0,11.0,
151,2.4,0.44,32.0,24.0,10.0,12.0,
152,2.0,0.38,37.0,16.0,11.0,11.0,
153,2.0,0.38,37.0,16.0,11.0,11.0,
154,1.5,0.33,45.0,11.0,9.0,6.8,
155,1.3,0.33,46.0,11.0,5.0,6.4,
156,1.4,0.34,44.0,12.0,5.0,7.0,
157,1.8,0.36,42.0,16.0,7.0,8.1,
158,2.2,0.44,41.0,23.0,15.0,9.8,
