,SO2,O3,PM10,PM25,NO2,pr
0,3.3,11,28.0,16.0,12.5,
1,3.2,11,28.0,16.0,13.7,
2,5.2,11,27.0,15.0,13.4,
3,3.8,12,28.0,15.0,12.4,
4,3.5,13,28.0,15.0,11.3,
5,3.3,20,34.0,16.0,9.9,
6,3.2,23,38.0,16.0,9.3,
7,3.6,25,40.0,16.0,8.9,
8,4.2,27,43.0,17.0,7.7,
9,4.4,29,47.0,17.0,7.6,
10,3.9,31,52.0,16.0,7.8,
11,3.9,32,56.0,16.0,9.4,
12,3.9,32,55.0,16.0,8.4,
13,3.2,32,54.0,16.0,10.3,
14,2.8,31,52.0,17.0,10.5,
15,3.0,29,46.0,17.0,12.5,
16,3.6,28,49.0,16.0,10.8,
17,3.2,26,49.0,15.0,9.2,
18,3.0,24,48.0,14.0,10.7,
19,2.8,23,46.0,14.0,10.1,
20,2.6,22,40.0,14.0,8.4,
21,2.5,22,34.0,13.0,10.3,
22,2.6,23,28.0,13.0,8.2,
23,5.1,24,25.0,13.0,8.4,
24,2.8,18,35.0,24.0,10.5,
25,3.0,19,35.0,23.0,13.9,
26,3.1,19,33.0,22.0,23.4,
27,3.2,21,30.0,21.0,18.1,
28,3.3,21,30.0,19.0,20.6,
29,3.3,19,32.0,21.0,19.9,
30,3.5,15,34.0,23.0,22.6,
31,3.1,13,36.0,24.0,19.1,
32,3.1,11,38.0,25.0,14.4,
33,2.8,10,38.0,25.0,13.5,
34,3.0,9,37.0,24.0,16.0,
35,5.7,7,36.0,23.0,13.0,
36,3.8,5,34.0,23.0,8.4,
37,3.2,4,34.0,22.0,6.7,
38,2.8,5,34.0,22.0,5.7,
39,2.3,5,30.0,20.0,5.6,
40,2.6,6,28.0,18.0,6.8,
41,2.5,7,26.0,17.0,6.6,
42,2.5,7,25.0,16.0,9.4,
43,2.7,8,24.0,15.0,12.7,
44,2.7,9,23.0,15.0,12.7,
45,2.8,11,23.0,15.0,14.9,
46,2.5,12,24.0,15.0,10.9,
47,2.7,13,24.0,15.0,19.8,
48,2.5,15,24.0,14.0,19.4,
49,3.0,15,24.0,15.0,27.2,
50,2.8,15,26.0,15.0,23.5,
51,2.8,15,26.0,16.0,24.6,
52,3.0,14,27.0,17.0,27.9,
53,2.7,12,28.0,18.0,18.8,
54,2.5,11,28.0,19.0,9.9,
55,2.2,11,32.0,19.0,9.2,
56,2.1,9,34.0,19.0,13.2,
57,2.3,8,36.0,18.0,12.4,
58,4.4,8,36.0,18.0,18.9,
59,3.1,7,37.0,18.0,17.5,
60,3.6,8,36.0,20.0,16.7,
61,3.8,8,37.0,20.0,16.7,
62,3.8,7,37.0,20.0,16.3,
63,3.9,5,36.0,20.0,15.4,
64,6.7,6,38.0,19.0,15.2,
65,6.4,8,40.0,20.0,10.5,
66,3.3,9,44.0,21.0,8.6,
67,2.8,12,44.0,21.0,6.7,
68,3.1,15,46.0,21.0,5.2,
69,3.0,18,45.0,21.0,4.8,
70,2.3,22,45.0,20.0,4.4,
71,2.1,25,46.0,19.0,4.3,
