,SO2,CO,O3,PM10,PM25,NO2,pr
0,1.8,0.7,10.0,26.0,15.0,11.1,
1,2.0,0.6,7.0,24.0,14.0,7.7,
2,2.0,0.6,8.0,24.0,13.0,5.7,
3,2.1,0.5,9.0,24.0,13.0,6.2,
4,2.1,0.5,9.0,24.0,13.0,5.3,
5,1.5,0.3,15.0,18.0,10.0,7.0,
6,1.9,0.3,17.0,20.0,11.0,8.3,
7,1.7,0.3,19.0,22.0,11.0,10.1,
8,1.7,0.4,23.0,23.0,11.0,8.4,
9,1.6,0.3,28.0,24.0,11.0,8.9,
10,1.8,0.4,32.0,24.0,11.0,8.5,
11,1.6,0.4,34.0,23.0,10.0,9.1,
12,1.4,0.4,36.0,24.0,9.0,8.7,
13,1.5,0.4,37.0,24.0,9.0,13.4,
14,1.7,0.4,37.0,25.0,9.0,11.7,
15,1.5,0.4,36.0,25.0,10.0,9.5,
16,1.7,0.4,34.0,25.0,12.0,8.3,
17,1.8,0.4,31.0,24.0,12.0,6.9,
18,1.5,0.4,28.0,23.0,12.0,6.2,
19,1.3,0.4,25.0,22.0,11.0,8.9,
20,1.3,0.4,24.0,20.0,10.0,9.2,
21,1.2,0.4,23.0,19.0,9.0,9.0,
22,0.8,0.4,22.0,18.0,7.0,7.5,
23,0.4,0.4,22.0,17.0,6.0,6.3,
24,0.9,0.7,21.0,22.0,12.0,8.4,
25,0.8,0.7,22.0,23.0,11.0,10.2,
26,0.7,0.7,23.0,25.0,11.0,19.9,
27,1.3,0.7,22.0,24.0,11.0,25.7,
28,1.6,0.76,20.0,26.0,12.0,26.6,
29,1.9,0.84,16.0,29.0,13.0,22.9,
30,1.4,0.86,12.0,31.0,15.0,13.0,
31,0.6,0.86,10.0,31.0,15.0,7.8,
32,0.4,0.86,8.0,30.0,14.0,7.1,
33,1.3,0.86,6.0,27.0,12.0,10.0,
34,1.0,0.84,5.0,26.0,11.0,10.3,
35,0.9,0.8,5.0,26.0,11.0,6.2,
36,0.8,0.73,5.0,26.0,10.0,4.1,
37,0.6,0.65,7.0,26.0,10.0,3.1,
38,0.8,0.61,8.0,24.0,10.0,3.6,
39,0.6,0.6,8.0,22.0,9.0,3.3,
40,0.6,0.59,9.0,20.0,9.0,5.7,
41,0.7,0.57,9.0,18.0,7.0,5.3,
42,0.7,0.57,10.0,18.0,7.0,5.6,
43,1.4,0.57,11.0,18.0,6.0,7.7,
44,0.8,0.59,12.0,18.0,6.0,5.1,
45,0.5,0.59,11.0,16.0,7.0,4.1,
46,0.5,0.6,12.0,14.0,7.0,7.4,
47,0.6,0.61,13.0,14.0,7.0,4.7,
48,0.5,0.61,14.0,14.0,7.0,3.8,
49,0.8,0.64,13.0,14.0,7.0,13.1,
50,1.1,0.65,13.0,16.0,6.0,11.0,
51,1.0,0.66,12.0,17.0,7.0,6.5,
52,0.9,0.67,11.0,18.0,7.0,6.7,
53,0.8,0.69,9.0,20.0,7.0,7.8,
54,0.6,0.7,7.0,21.0,7.0,6.3,
55,0.4,0.7,5.0,21.0,6.0,5.8,
56,0.6,0.7,4.0,22.0,6.0,5.9,
57,1.2,0.6,3.0,22.0,6.0,7.4,
58,1.3,0.6,3.0,24.0,6.0,6.6,
59,1.6,0.6,3.0,24.0,7.0,5.4,
60,1.6,0.6,4.0,25.0,7.0,5.6,
61,1.4,0.6,4.0,26.0,7.0,4.4,
62,1.0,0.6,4.0,25.0,8.0,3.3,
63,1.2,0.5,4.0,24.0,7.0,3.1,
64,2.4,0.5,5.0,25.0,7.0,4.2,
65,1.6,0.5,6.0,26.0,7.0,6.8,
66,1.6,0.5,9.0,27.0,8.0,12.0,
67,1.8,0.6,16.0,28.0,9.0,14.1,
68,1.5,0.6,21.0,28.0,11.0,11.4,
69,1.3,0.57,27.0,32.0,12.0,8.7,
70,1.2,0.57,32.0,36.0,12.0,8.2,
71,1.3,0.57,37.0,36.0,12.0,8.2,
72,1.4,0.56,43.0,38.0,12.0,12.4,
73,1.9,0.57,44.0,41.0,15.0,15.1,
74,2.5,0.6,46.0,43.0,15.0,22.9,
75,2.3,0.61,41.0,49.0,17.0,24.2,
76,1.9,0.63,37.0,51.0,17.0,17.9,
77,1.6,0.66,33.0,51.0,17.0,16.8,
78,1.7,0.7,28.0,50.0,17.0,19.8,
79,1.9,0.73,24.0,50.0,17.0,19.1,
80,1.9,0.73,22.0,50.0,16.0,18.6,
81,1.9,0.71,18.0,54.0,17.0,15.7,
82,1.5,0.69,15.0,57.0,17.0,14.2,
83,1.3,0.66,13.0,58.0,18.0,10.6,
84,1.1,0.65,15.0,56.0,18.0,10.3,
85,0.9,0.65,14.0,50.0,17.0,11.9,
86,0.9,0.64,13.0,46.0,16.0,13.0,
87,0.9,0.65,12.0,42.0,15.0,13.2,
88,1.3,0.66,12.0,38.0,14.0,12.1,
89,0.9,0.68,13.0,36.0,14.0,6.7,
90,1.3,0.65,36.0,29.0,13.0,10.5,
91,1.2,0.66,38.0,28.0,13.0,13.2,
92,1.5,0.69,38.0,29.0,14.0,18.0,
93,1.5,0.72,37.0,31.0,15.0,20.5,
94,1.5,0.76,33.0,32.0,16.0,17.8,
95,1.4,0.77,30.0,32.0,16.0,15.3,
96,1.5,0.8,26.0,32.0,16.0,15.6,
97,1.4,0.81,22.0,32.0,16.0,12.2,
98,1.2,0.81,19.0,30.0,15.0,8.4,
99,1.1,0.79,18.0,30.0,15.0,6.3,
100,0.9,0.74,18.0,28.0,14.0,5.1,
101,0.7,0.68,18.0,26.0,14.0,4.7,
102,0.9,0.61,19.0,24.0,13.0,4.2,
103,0.7,0.56,20.0,23.0,12.0,7.0,
104,0.8,0.51,20.0,24.0,12.0,4.2,
105,0.9,0.46,20.0,22.0,12.0,4.5,
106,1.0,0.44,20.0,22.0,11.0,6.7,
107,0.9,0.44,21.0,22.0,11.0,6.9,
108,0.9,0.44,23.0,21.0,10.0,6.9,
109,0.6,0.44,25.0,19.0,10.0,6.7,
110,1.1,0.44,28.0,18.0,11.0,8.4,
111,0.8,0.45,32.0,18.0,11.0,8.6,
112,0.6,0.45,36.0,20.0,11.0,8.9,
113,0.8,0.48,40.0,21.0,11.0,9.3,
114,0.9,0.49,42.0,22.0,12.0,10.4,
115,0.7,0.5,43.0,22.0,12.0,13.2,
116,0.8,0.54,42.0,22.0,12.0,16.4,
117,1.0,0.56,40.0,24.0,12.0,15.0,
118,0.9,0.6,36.0,24.0,11.0,16.9,
119,0.7,0.61,32.0,24.0,11.0,13.3,
120,1.0,0.61,29.0,22.0,11.0,8.8,
121,0.8,0.61,26.0,22.0,11.0,8.7,
122,0.7,0.61,24.0,22.0,11.0,9.9,
123,1.0,0.6,22.0,23.0,12.0,7.0,
124,1.3,0.57,22.0,24.0,12.0,5.5,
125,1.5,0.55,22.0,24.0,11.0,4.5,
126,1.6,0.51,23.0,24.0,10.0,2.7,
127,1.5,0.5,24.0,23.0,9.0,4.1,
128,1.3,0.5,25.0,22.0,10.0,4.9,
129,1.5,0.5,25.0,22.0,10.0,10.0,
130,1.6,0.53,25.0,22.0,11.0,14.7,
131,1.4,0.54,26.0,24.0,11.0,12.1,
132,1.5,0.54,27.0,23.0,12.0,10.4,
133,1.3,0.55,29.0,24.0,12.0,9.9,
134,1.4,0.56,32.0,24.0,13.0,8.8,
135,1.6,0.57,34.0,23.0,14.0,7.9,
136,2.0,0.59,37.0,24.0,14.0,8.1,
137,1.8,0.6,40.0,22.0,13.0,9.4,
138,2.1,0.57,43.0,23.0,13.0,10.8,
139,1.6,0.57,43.0,24.0,13.0,13.1,
140,1.7,0.6,42.0,25.0,13.0,18.6,
141,1.5,0.64,40.0,26.0,12.0,18.7,
142,1.8,0.66,36.0,26.0,12.0,16.4,
143,1.6,0.67,32.0,24.0,12.0,13.9,
144,1.6,0.67,32.0,24.0,12.0,13.9,
145,1.6,0.67,0.0,24.0,12.0,13.9,
146,1.6,0.69,23.0,19.0,11.0,8.6,
147,1.6,0.69,23.0,19.0,11.0,8.6,
148,1.6,0.69,0.0,19.0,11.0,8.6,
149,1.6,0.69,0.0,19.0,11.0,8.6,
150,1.6,0.69,0.0,19.0,11.0,8.6,
151,1.6,0.69,0.0,19.0,11.0,8.6,
152,1.5,0.56,26.0,16.0,8.0,6.7,
153,1.6,0.55,27.0,16.0,8.0,12.4,
154,1.8,0.57,27.0,16.0,9.0,16.7,
155,2.1,0.61,27.0,17.0,9.0,15.7,
156,1.8,0.62,29.0,17.0,10.0,7.8,
157,1.6,0.62,31.0,18.0,10.0,7.7,
158,1.8,0.64,33.0,18.0,9.0,8.1,
159,2.0,0.65,36.0,18.0,9.0,7.8,
160,1.7,0.66,40.0,20.0,9.0,8.6,
161,1.3,0.66,43.0,23.0,9.0,9.4,
162,1.3,0.64,45.0,27.0,10.0,9.4,
163,1.2,0.61,47.0,29.0,11.0,6.8,
164,1.1,0.61,47.0,28.0,11.0,8.8,
165,1.1,0.64,45.0,26.0,11.0,14.5,
166,1.3,0.65,43.0,22.0,11.0,15.6,
167,1.2,0.65,40.0,22.0,11.0,11.6,
168,1.5,0.65,38.0,21.0,11.0,7.8,
169,1.2,0.64,36.0,20.0,12.0,7.3,
170,1.4,0.64,36.0,19.0,12.0,5.5,
171,1.3,0.64,37.0,18.0,12.0,3.1,
172,1.8,0.61,37.0,17.0,10.0,3.9,
173,1.7,0.57,39.0,16.0,10.0,4.2,
174,1.9,0.54,41.0,16.0,11.0,3.5,
175,1.5,0.51,42.0,16.0,11.0,5.2,
176,1.5,0.49,43.0,15.0,12.0,6.3,
177,1.6,0.47,43.0,14.0,12.0,8.8,
178,1.8,0.48,43.0,14.0,12.0,12.2,
179,1.8,0.48,42.0,16.0,13.0,11.5,
180,1.9,0.49,42.0,18.0,14.0,9.6,
181,1.9,0.5,42.0,21.0,14.0,9.3,
182,1.8,0.51,43.0,23.0,15.0,9.1,
183,1.9,0.51,45.0,26.0,16.0,8.4,
184,2.0,0.51,46.0,30.0,17.0,7.5,
185,1.8,0.51,49.0,33.0,18.0,8.0,
186,1.9,0.5,51.0,36.0,19.0,8.9,
187,1.8,0.49,53.0,38.0,18.0,10.1,
188,2.0,0.49,54.0,40.0,19.0,13.8,
189,2.0,0.49,54.0,42.0,21.0,15.1,
190,1.8,0.49,54.0,42.0,22.0,12.8,
191,1.9,0.49,54.0,42.0,24.0,12.2,
192,2.0,0.5,54.0,42.0,24.0,11.3,
193,2.0,0.51,54.0,40.0,23.0,6.9,
