,SO2,CO,O3,PM10,PM25,NO2,pr
0,0.5,0.4,14.0,30.0,7.0,7.8,
1,0.8,0.4,13.0,28.0,7.0,7.4,
2,0.8,0.3,14.0,26.0,6.0,6.7,
3,0.9,0.3,14.0,25.0,5.0,7.8,
4,0.8,0.3,16.0,25.0,6.0,7.1,
5,0.8,0.3,23.0,32.0,8.0,10.8,
6,0.7,0.3,25.0,36.0,8.0,10.5,
7,0.8,0.3,27.0,38.0,7.0,10.2,
8,0.9,0.3,28.0,41.0,7.0,8.5,
9,1.1,0.4,30.0,46.0,8.0,9.6,
10,1.0,0.4,32.0,53.0,8.0,8.4,
11,0.7,0.4,33.0,58.0,7.0,8.4,
12,0.6,0.4,34.0,58.0,7.0,7.9,
13,0.6,0.4,35.0,58.0,6.0,7.9,
14,0.6,0.4,0.0,58.0,6.0,7.9,
15,2.0,0.5,34.0,49.0,6.0,9.9,
16,1.9,0.4,32.0,56.0,7.0,9.5,
17,1.8,0.4,30.0,56.0,7.0,8.3,
18,1.6,0.4,28.0,57.0,6.0,6.8,
19,1.6,0.4,27.0,53.0,5.0,6.6,
20,1.6,0.4,26.0,44.0,4.0,7.1,
21,1.6,0.4,26.0,35.0,2.0,6.4,
22,1.7,0.3,26.0,26.0,2.0,6.9,
23,1.7,0.3,26.0,23.0,2.0,6.9,
24,1.6,0.6,17.0,26.0,15.0,13.1,
25,2.1,0.6,18.0,28.0,16.0,12.0,
26,2.1,0.6,19.0,26.0,16.0,20.0,
27,2.0,0.6,20.0,26.0,15.0,16.2,
28,1.8,0.56,19.0,26.0,14.0,19.7,
29,1.8,0.54,17.0,26.0,15.0,16.4,
30,1.9,0.56,14.0,28.0,15.0,22.1,
31,1.9,0.57,12.0,28.0,16.0,17.9,
32,1.6,0.57,11.0,28.0,15.0,12.4,
33,2.0,0.59,9.0,28.0,14.0,14.4,
34,2.1,0.59,9.0,28.0,14.0,13.7,
35,2.1,0.58,8.0,26.0,13.0,13.6,
36,2.1,0.56,6.0,25.0,12.0,11.1,
37,1.7,0.54,5.0,25.0,12.0,8.7,
38,1.5,0.48,6.0,24.0,12.0,6.1,
39,1.4,0.43,7.0,22.0,10.0,6.1,
40,1.4,0.4,7.0,20.0,10.0,7.3,
41,1.5,0.36,8.0,18.0,8.0,8.3,
42,1.4,0.33,8.0,77.0,27.0,8.8,
43,2.1,0.33,8.0,93.0,32.0,11.7,
44,2.4,0.33,9.0,16.0,5.0,8.4,
45,2.4,0.4,10.0,18.0,5.0,15.3,
46,2.2,0.45,11.0,18.0,7.0,15.3,
47,2.3,0.49,12.0,20.0,8.0,11.2,
48,2.4,0.53,13.0,20.0,9.0,15.5,
49,2.5,0.59,13.0,20.0,9.0,26.2,
50,2.6,0.64,13.0,21.0,10.0,24.0,
51,2.6,0.69,13.0,22.0,11.0,21.4,
52,2.6,0.7,12.0,24.0,12.0,20.0,
53,2.4,0.7,11.0,24.0,11.0,18.0,
54,2.3,0.7,11.0,24.0,11.0,10.9,
55,2.5,0.7,9.0,25.0,11.0,15.3,
56,2.8,0.7,8.0,25.0,12.0,11.1,
57,2.6,0.7,7.0,25.0,11.0,11.2,
58,2.6,0.7,6.0,25.0,10.0,12.5,
59,2.6,0.6,6.0,24.0,9.0,16.1,
60,2.7,0.6,6.0,25.0,9.0,15.8,
61,3.0,0.6,6.0,26.0,9.0,18.8,
62,3.4,0.5,4.0,26.0,10.0,18.8,
63,3.4,0.5,4.0,27.0,12.0,14.6,
64,3.4,0.5,5.0,28.0,13.0,11.6,
65,3.4,0.4,5.0,28.0,13.0,11.6,
66,3.4,0.4,0.0,28.0,13.0,11.6,
67,1.9,0.4,8.0,36.0,15.0,7.3,
68,1.6,0.4,13.0,40.0,14.0,5.0,
69,1.5,0.4,17.0,39.0,13.0,4.3,
70,1.5,0.4,22.0,38.0,12.0,3.5,
71,2.2,0.4,27.0,38.0,12.0,4.4,
72,2.1,0.32,33.0,40.0,13.0,4.7,
73,2.0,0.31,34.0,40.0,14.0,7.2,
74,1.9,0.33,33.0,44.0,15.0,10.8,
75,1.8,0.32,34.0,46.0,16.0,8.3,
76,1.6,0.31,33.0,46.0,15.0,10.3,
77,1.6,0.3,33.0,45.0,15.0,8.4,
78,1.6,0.3,31.0,44.0,14.0,10.5,
79,1.5,0.29,29.0,43.0,15.0,10.2,
80,1.5,0.32,26.0,42.0,17.0,9.1,
81,1.7,0.33,22.0,42.0,18.0,15.6,
82,1.7,0.33,20.0,43.0,19.0,17.6,
83,1.9,0.34,18.0,43.0,19.0,17.0,
84,1.8,0.33,16.0,42.0,19.0,15.1,
85,1.9,0.35,14.0,41.0,19.0,16.8,
86,1.5,0.35,12.0,40.0,18.0,16.8,
87,1.7,0.35,12.0,38.0,17.0,13.2,
88,1.7,0.37,12.0,36.0,16.0,10.5,
89,1.8,0.38,12.0,36.0,15.0,9.0,
90,1.6,0.47,34.0,31.0,10.0,8.0,
91,1.9,0.46,34.0,32.0,10.0,9.9,
92,2.1,0.46,34.0,32.0,11.0,14.0,
93,2.0,0.45,33.0,33.0,10.0,16.5,
94,1.9,0.44,31.0,33.0,10.0,15.3,
95,1.9,0.43,29.0,34.0,10.0,14.2,
96,1.7,0.43,27.0,34.0,11.0,12.7,
97,1.9,0.41,25.0,33.0,11.0,10.8,
98,1.9,0.4,23.0,32.0,11.0,9.9,
99,2.0,0.39,22.0,30.0,10.0,10.0,
100,2.0,0.38,22.0,30.0,9.0,9.9,
101,1.8,0.36,22.0,28.0,9.0,10.1,
102,1.8,0.34,22.0,28.0,9.0,10.0,
103,1.8,0.31,23.0,27.0,9.0,9.6,
104,1.8,0.29,23.0,25.0,8.0,9.6,
105,2.2,0.28,23.0,24.0,8.0,9.7,
106,1.7,0.28,24.0,24.0,8.0,9.8,
107,1.5,0.29,24.0,23.0,8.0,9.6,
108,1.8,0.31,25.0,24.0,9.0,10.7,
109,1.7,0.33,27.0,25.0,10.0,9.2,
110,1.9,0.36,29.0,26.0,11.0,9.8,
111,1.7,0.38,31.0,28.0,12.0,7.9,
112,1.7,0.41,33.0,28.0,11.0,7.3,
113,1.6,0.42,35.0,28.0,12.0,9.3,
114,1.6,0.44,36.0,27.0,11.0,8.6,
115,1.6,0.44,37.0,26.0,10.0,11.0,
116,2.0,0.43,36.0,26.0,11.0,13.0,
117,1.8,0.43,35.0,28.0,11.0,12.6,
118,1.7,0.41,33.0,28.0,11.0,12.3,
119,1.7,0.4,31.0,28.0,12.0,11.1,
120,1.6,0.39,29.0,28.0,11.0,9.5,
