,SO2,CO,O3,PM10,PM25,NO2,pr
0,2.5,0.7,6.0,50.0,15.0,15.6,
1,2.7,0.7,3.0,46.0,15.0,15.2,
2,2.6,0.7,1.0,43.0,14.0,14.4,
3,3.0,0.8,1.0,42.0,14.0,13.1,
4,2.6,0.7,1.0,40.0,13.0,11.8,
5,2.5,0.7,1.0,40.0,13.0,11.8,
6,2.4,0.7,1.0,39.0,12.0,11.0,
7,2.5,0.6,1.0,33.0,9.0,13.0,
8,2.9,0.5,1.0,34.0,10.0,18.5,
9,2.3,0.5,2.0,35.0,10.0,15.8,
10,2.6,0.5,3.0,35.0,9.0,26.0,
11,2.4,0.4,4.0,36.0,10.0,32.7,
12,2.2,0.4,6.0,36.0,10.0,16.2,
13,2.1,0.4,8.0,38.0,10.0,21.5,
14,2.2,0.4,10.0,44.0,9.0,14.7,
15,2.1,0.4,12.0,44.0,8.0,15.1,
16,2.1,0.4,13.0,42.0,7.0,16.3,
17,2.2,0.5,13.0,39.0,7.0,18.2,
18,2.2,0.5,13.0,34.0,7.0,15.4,
19,2.4,0.5,12.0,34.0,7.0,15.4,
20,2.5,0.5,10.0,33.0,6.0,14.0,
21,2.4,0.5,8.0,32.0,6.0,14.1,
22,2.4,0.5,6.0,32.0,6.0,14.6,
23,2.2,0.5,5.0,29.0,6.0,14.6,
24,2.3,0.5,4.0,27.0,5.0,13.2,
25,2.3,0.5,4.0,25.0,5.0,11.3,
26,2.3,0.5,2.0,24.0,9.0,16.5,
27,2.3,0.4,3.0,24.0,9.0,16.7,
28,2.4,0.5,3.0,24.0,7.0,20.3,
29,2.5,0.5,3.0,24.0,8.0,20.5,
30,2.7,0.55,3.0,24.0,9.0,16.1,
31,2.4,0.56,3.0,25.0,9.0,13.4,
32,2.2,0.56,2.0,24.0,9.0,11.1,
33,2.4,0.56,1.0,24.0,8.0,9.0,
34,2.3,0.55,1.0,23.0,6.0,7.8,
35,2.2,0.55,1.0,22.0,5.0,7.0,
36,2.4,0.51,1.0,22.0,4.0,6.4,
37,2.5,0.45,1.0,23.0,3.0,7.4,
38,2.4,0.39,1.0,22.0,3.0,6.2,
39,2.5,0.35,1.0,22.0,4.0,7.5,
40,2.4,0.33,2.0,21.0,5.0,5.6,
41,2.3,0.31,2.0,19.0,5.0,6.9,
42,2.4,0.3,2.0,17.0,4.0,7.7,
43,2.8,0.27,2.0,16.0,3.0,6.7,
44,2.7,0.27,2.0,14.0,3.0,6.8,
45,2.5,0.27,2.0,11.0,3.0,7.6,
46,2.5,0.28,2.0,10.0,3.0,9.2,
47,2.6,0.28,1.0,10.0,2.0,13.8,
48,2.4,0.28,1.0,12.0,2.0,13.9,
49,2.5,0.29,1.0,13.0,2.0,13.4,
50,2.8,0.31,1.0,14.0,3.0,14.7,
51,2.8,0.34,1.0,18.0,4.0,17.0,
52,2.7,0.36,1.0,20.0,5.0,12.7,
53,2.6,0.37,1.0,22.0,5.0,7.6,
54,2.7,0.39,1.0,24.0,4.0,5.4,
55,2.8,0.4,1.0,21.0,3.0,5.4,
56,2.6,0.4,1.0,21.0,3.0,5.5,
57,2.7,0.4,1.0,21.0,3.0,4.9,
58,2.2,0.4,1.0,22.0,2.0,5.1,
59,2.6,0.4,1.0,23.0,2.0,5.4,
60,2.4,0.4,1.0,24.0,2.0,6.0,
61,2.6,0.4,1.0,24.0,2.0,5.3,
62,2.8,0.3,1.0,24.0,2.0,5.9,
63,2.8,0.3,1.0,23.0,2.0,5.1,
64,2.6,0.3,1.0,23.0,1.0,5.1,
65,2.7,0.3,1.0,22.0,2.0,4.1,
66,2.8,0.4,1.0,22.0,2.0,7.2,
67,2.7,0.4,1.0,24.0,3.0,13.5,
68,2.7,0.4,1.0,25.0,5.0,18.4,
69,2.5,0.4,2.0,30.0,7.0,44.3,
70,2.5,0.4,3.0,37.0,11.0,48.6,
71,2.4,0.46,5.0,43.0,13.0,18.3,
72,2.2,0.49,7.0,47.0,14.0,23.6,
73,2.1,0.49,9.0,52.0,15.0,16.0,
74,2.2,0.46,12.0,52.0,15.0,16.5,
75,2.2,0.46,14.0,51.0,15.0,24.3,
76,2.7,0.49,13.0,53.0,15.0,48.8,
77,2.6,0.51,13.0,58.0,16.0,30.6,
78,2.6,0.55,13.0,60.0,18.0,25.4,
79,3.0,0.6,11.0,62.0,18.0,22.7,
80,2.7,0.62,9.0,63.0,18.0,16.1,
81,2.6,0.66,7.0,60.0,17.0,12.9,
82,2.9,0.69,4.0,59.0,16.0,14.2,
83,2.6,0.7,2.0,58.0,15.0,12.5,
84,2.6,0.7,2.0,59.0,15.0,11.1,
85,2.7,0.66,1.0,60.0,15.0,12.2,
86,2.6,0.62,1.0,61.0,16.0,10.6,
87,2.5,0.59,1.0,62.0,17.0,9.0,
88,2.6,0.55,1.0,64.0,17.0,7.9,
89,2.7,0.51,1.0,62.0,17.0,10.5,
90,2.9,0.5,1.0,58.0,16.0,14.2,
91,2.6,0.49,1.0,54.0,16.0,16.3,
92,2.4,0.39,18.0,40.0,12.0,13.5,
93,2.4,0.38,20.0,38.0,12.0,14.4,
94,2.3,0.4,21.0,38.0,13.0,16.7,
95,2.6,0.45,20.0,39.0,13.0,20.4,
96,2.2,0.51,18.0,39.0,14.0,21.0,
97,2.5,0.56,16.0,38.0,14.0,17.7,
98,3.0,0.59,12.0,38.0,14.0,14.7,
99,2.6,0.61,9.0,38.0,13.0,11.8,
100,2.7,0.64,6.0,38.0,12.0,10.5,
101,2.5,0.65,4.0,39.0,12.0,11.5,
102,2.6,0.62,3.0,39.0,12.0,10.4,
103,2.3,0.59,3.0,38.0,12.0,9.0,
104,2.5,0.54,3.0,37.0,12.0,8.7,
105,2.8,0.49,3.0,34.0,11.0,7.2,
106,2.6,0.44,4.0,31.0,10.0,9.1,
107,2.5,0.4,4.0,30.0,8.0,11.2,
108,2.7,0.38,4.0,28.0,8.0,13.5,
109,2.6,0.36,5.0,27.0,7.0,13.9,
110,2.7,0.35,5.0,27.0,7.0,11.6,
111,2.4,0.34,7.0,26.0,7.0,12.1,
112,2.4,0.32,9.0,26.0,6.0,11.1,
113,2.6,0.35,11.0,27.0,7.0,13.3,
114,2.3,0.36,14.0,29.0,8.0,11.8,
115,2.4,0.38,17.0,31.0,9.0,11.3,
116,2.3,0.38,20.0,32.0,10.0,13.0,
117,2.4,0.37,21.0,31.0,11.0,15.8,
118,2.5,0.4,22.0,30.0,11.0,17.0,
119,2.5,0.44,21.0,31.0,10.0,19.9,
120,2.6,0.48,19.0,30.0,10.0,18.9,
121,2.6,0.49,16.0,30.0,10.0,15.5,
122,2.6,0.46,14.0,30.0,9.0,15.4,
123,2.5,0.44,11.0,30.0,10.0,13.2,
124,2.5,0.4,8.0,30.0,10.0,10.3,
125,2.7,0.36,6.0,32.0,11.0,7.6,
126,2.6,0.31,4.0,32.0,10.0,8.1,
127,2.5,0.26,4.0,34.0,9.0,7.0,
128,2.1,0.24,3.0,34.0,9.0,6.5,
129,2.4,0.21,3.0,33.0,9.0,6.4,
130,2.5,0.23,2.0,33.0,9.0,9.6,
131,2.6,0.24,2.0,32.0,9.0,12.5,
132,2.6,0.29,3.0,31.0,9.0,14.2,
133,2.6,0.32,4.0,30.0,9.0,13.6,
134,2.6,0.36,6.0,29.0,10.0,12.7,
135,2.6,0.38,8.0,30.0,10.0,11.4,
136,2.6,0.36,9.0,29.0,11.0,11.4,
137,2.5,0.35,13.0,30.0,14.0,9.8,
138,2.2,0.36,17.0,32.0,14.0,10.1,
139,2.5,0.38,20.0,34.0,14.0,12.7,
140,2.3,0.37,22.0,36.0,11.0,15.0,
141,2.2,0.39,23.0,36.0,11.0,16.9,
142,2.3,0.41,22.0,36.0,10.0,19.5,
143,2.5,0.49,20.0,34.0,11.0,22.7,
144,2.6,0.51,19.0,31.0,11.0,18.1,
145,2.4,0.55,16.0,30.0,11.0,16.1,
146,2.5,0.57,13.0,28.0,10.0,16.1,
147,2.5,0.57,13.0,28.0,10.0,16.1,
148,2.5,0.59,7.0,30.0,10.0,9.1,
149,2.5,0.59,7.0,30.0,10.0,9.1,
150,2.4,0.55,4.0,30.0,8.0,8.8,
151,2.5,0.5,4.0,30.0,8.0,8.6,
152,2.4,0.46,4.0,28.0,7.0,8.3,
153,2.5,0.44,4.0,26.0,7.0,8.0,
154,2.5,0.44,4.0,26.0,7.0,8.0,
155,2.5,0.39,4.0,24.0,7.0,10.9,
156,2.8,0.41,4.0,24.0,6.0,16.9,
157,2.6,0.44,4.0,25.0,7.0,21.3,
158,2.4,0.45,4.0,28.0,8.0,23.4,
159,2.3,0.45,6.0,28.0,8.0,21.3,
160,2.3,0.45,8.0,31.0,9.0,27.1,
161,2.4,0.45,10.0,34.0,9.0,13.5,
162,2.5,0.46,14.0,36.0,9.0,10.2,
163,2.1,0.49,17.0,38.0,10.0,12.3,
164,2.4,0.46,20.0,40.0,11.0,13.3,
165,2.2,0.45,22.0,42.0,11.0,14.2,
166,2.1,0.45,23.0,42.0,11.0,15.4,
167,2.5,0.48,22.0,40.0,11.0,18.7,
168,2.5,0.5,22.0,38.0,10.0,18.9,
169,2.5,0.51,20.0,36.0,9.0,14.5,
170,2.4,0.5,18.0,33.0,9.0,11.0,
171,2.4,0.48,16.0,32.0,9.0,9.6,
172,2.5,0.47,15.0,30.0,8.0,9.6,
173,2.5,0.46,16.0,30.0,7.0,6.7,
174,2.5,0.44,16.0,30.0,7.0,5.5,
175,2.5,0.4,17.0,30.0,6.0,4.9,
176,2.3,0.36,19.0,28.0,6.0,4.9,
177,2.1,0.34,20.0,26.0,5.0,3.4,
178,2.1,0.32,20.0,23.0,5.0,6.2,
179,2.4,0.33,21.0,23.0,5.0,7.6,
180,2.2,0.31,22.0,23.0,5.0,10.3,
181,2.3,0.3,22.0,24.0,4.0,11.4,
182,2.1,0.31,22.0,27.0,5.0,11.5,
183,2.2,0.32,23.0,30.0,6.0,10.4,
184,2.3,0.34,24.0,34.0,7.0,10.5,
185,2.2,0.35,25.0,40.0,9.0,9.2,
186,2.4,0.36,27.0,45.0,11.0,7.8,
187,2.5,0.36,28.0,50.0,12.0,8.0,
188,2.2,0.38,30.0,54.0,13.0,10.0,
189,2.2,0.39,32.0,56.0,14.0,9.9,
190,2.2,0.4,32.0,59.0,15.0,12.2,
191,2.5,0.43,32.0,61.0,15.0,15.0,
192,2.4,0.44,32.0,62.0,16.0,13.9,
193,2.3,0.53,31.0,60.0,17.0,12.3,
194,2.3,0.55,30.0,59.0,16.0,11.9,
195,2.1,0.56,29.0,58.0,17.0,8.5,
196,2.3,0.55,29.0,56.0,17.0,6.9,
197,2.4,0.54,28.0,54.0,17.0,5.5,
198,2.3,0.51,28.0,52.0,16.0,6.7,
199,2.2,0.47,28.0,51.0,15.0,8.0,
200,2.3,0.45,27.0,50.0,14.0,7.7,
201,2.4,0.35,26.0,48.0,14.0,7.6,
202,2.4,0.31,25.0,47.0,14.0,9.8,
203,2.1,0.31,24.0,46.0,14.0,10.6,
204,2.2,0.32,23.0,44.0,13.0,12.7,
205,2.4,0.34,22.0,44.0,13.0,9.4,
206,2.1,0.35,22.0,44.0,13.0,8.8,
207,2.4,0.37,24.0,44.0,13.0,9.6,
208,2.4,0.41,27.0,46.0,14.0,9.6,
209,2.2,0.45,30.0,49.0,15.0,10.2,
210,2.2,0.48,33.0,52.0,17.0,9.3,
211,2.4,0.49,36.0,54.0,19.0,10.7,
212,2.0,0.51,39.0,56.0,19.0,12.3,
213,2.2,0.55,41.0,57.0,20.0,13.8,
214,2.3,0.59,42.0,58.0,20.0,17.5,
215,2.5,0.62,40.0,60.0,22.0,18.5,
216,2.5,0.64,38.0,61.0,23.0,18.8,
217,2.4,0.65,36.0,64.0,25.0,17.1,
218,2.2,0.66,33.0,64.0,26.0,18.9,
219,2.4,0.69,29.0,63.0,27.0,15.3,
220,2.6,0.69,24.0,62.0,29.0,12.1,
221,2.2,0.66,21.0,60.0,28.0,10.8,
222,2.5,0.64,18.0,58.0,27.0,9.6,
223,2.4,0.6,15.0,57.0,27.0,8.8,
224,2.3,0.57,13.0,55.0,25.0,9.0,
225,2.4,0.55,10.0,54.0,24.0,7.3,
226,2.4,0.52,9.0,52.0,24.0,9.7,
227,2.5,0.5,8.0,50.0,23.0,11.9,
228,2.4,0.51,7.0,49.0,22.0,16.3,
229,2.6,0.52,7.0,47.0,22.0,16.3,
230,2.4,0.56,7.0,46.0,21.0,28.3,
231,2.6,0.6,9.0,52.0,23.0,28.6,
232,2.4,0.61,13.0,56.0,24.0,17.4,
233,2.4,0.62,18.0,59.0,25.0,11.9,
234,2.2,0.64,23.0,63.0,26.0,12.6,
235,2.3,0.65,28.0,64.0,27.0,14.5,
236,2.4,0.64,34.0,68.0,28.0,17.3,
237,2.4,0.65,37.0,73.0,30.0,19.2,
238,2.5,0.65,40.0,76.0,30.0,21.4,
239,2.4,0.65,40.0,77.0,31.0,21.8,
240,2.6,0.69,37.0,76.0,32.0,26.7,
241,2.6,0.69,37.0,76.0,32.0,26.7,
242,2.6,0.72,32.0,76.0,32.0,21.9,
243,2.7,0.75,28.0,76.0,33.0,17.9,
244,2.5,0.76,18.0,72.0,33.0,13.5,
245,2.4,0.75,14.0,68.0,33.0,12.6,
246,2.5,0.73,11.0,68.0,32.0,13.2,
247,2.6,0.7,8.0,68.0,32.0,13.0,
248,2.5,0.66,7.0,68.0,31.0,12.4,
249,2.8,0.62,6.0,68.0,31.0,9.8,
250,2.7,0.61,6.0,66.0,31.0,12.3,
251,2.7,0.6,5.0,63.0,31.0,13.3,
252,2.6,0.61,4.0,62.0,30.0,17.7,
253,3.1,0.64,4.0,62.0,30.0,24.4,
254,2.9,0.66,4.0,65.0,31.0,33.5,
255,3.1,0.7,6.0,70.0,33.0,31.9,
256,3.4,0.7,9.0,75.0,36.0,17.9,
257,3.6,0.7,14.0,77.0,36.0,14.1,
258,3.2,0.67,19.0,75.0,34.0,12.0,
259,3.3,0.66,21.0,70.0,30.0,12.3,
260,3.5,0.61,26.0,66.0,24.0,13.7,
261,3.4,0.56,30.0,66.0,23.0,15.9,
262,3.7,0.53,32.0,66.0,22.0,24.2,
263,3.8,0.51,30.0,68.0,22.0,33.2,
264,3.3,0.56,26.0,68.0,23.0,30.9,
265,3.1,0.59,23.0,66.0,23.0,23.3,
266,3.3,0.62,18.0,63.0,22.0,18.9,
267,3.0,0.65,14.0,58.0,21.0,16.5,
268,2.8,0.68,10.0,54.0,19.0,14.2,
269,3.1,0.69,6.0,54.0,20.0,13.2,
270,3.2,0.68,4.0,54.0,19.0,13.4,
271,2.7,0.64,3.0,54.0,19.0,11.9,
272,2.6,0.59,3.0,52.0,19.0,10.5,
273,2.5,0.54,3.0,50.0,18.0,8.4,
274,2.7,0.5,3.0,49.0,18.0,9.9,
275,2.7,0.5,2.0,47.0,18.0,9.3,
276,2.8,0.52,2.0,46.0,18.0,13.2,
277,2.9,0.58,2.0,47.0,19.0,23.8,
278,2.9,0.64,2.0,50.0,20.0,35.4,
279,2.7,0.69,4.0,55.0,23.0,40.1,
280,2.6,0.7,7.0,59.0,24.0,21.2,
281,2.6,0.73,12.0,60.0,23.0,15.2,
282,2.4,0.73,17.0,60.0,22.0,12.8,
283,2.6,0.7,22.0,58.0,21.0,13.7,
284,2.6,0.65,26.0,58.0,20.0,16.4,
285,2.6,0.6,30.0,59.0,20.0,18.5,
286,2.7,0.55,32.0,59.0,20.0,28.6,
287,2.7,0.54,31.0,60.0,21.0,30.4,
288,2.7,0.56,28.0,60.0,21.0,28.6,
289,2.9,0.57,24.0,60.0,21.0,21.7,
290,2.9,0.6,19.0,58.0,21.0,18.1,
291,2.6,0.62,15.0,56.0,20.0,16.7,
292,2.8,0.65,10.0,54.0,19.0,14.7,
293,2.7,0.65,7.0,54.0,19.0,15.0,
294,2.4,0.64,5.0,53.0,19.0,13.5,
295,2.7,0.6,3.0,52.0,19.0,12.1,
296,2.9,0.56,3.0,51.0,20.0,12.1,
297,2.7,0.54,2.0,50.0,20.0,9.6,
298,2.8,0.52,2.0,50.0,21.0,11.3,
299,2.5,0.51,2.0,48.0,21.0,10.9,
300,2.9,0.54,2.0,46.0,20.0,14.3,
301,3.0,0.57,2.0,46.0,21.0,23.8,
302,3.1,0.61,2.0,48.0,21.0,32.7,
303,2.8,0.65,3.0,53.0,24.0,38.6,
304,2.8,0.66,6.0,56.0,25.0,32.7,
305,2.4,0.66,10.0,59.0,26.0,28.8,
306,2.4,0.65,15.0,62.0,28.0,19.8,
307,2.5,0.64,20.0,61.0,27.0,20.1,
308,2.3,0.59,25.0,63.0,28.0,14.5,
309,2.6,0.55,29.0,64.0,29.0,17.8,
310,2.7,0.52,31.0,64.0,30.0,20.9,
311,2.8,0.53,32.0,66.0,31.0,25.5,
312,2.7,0.54,32.0,66.0,31.0,19.9,
313,2.7,0.56,29.0,65.0,30.0,20.9,
314,2.9,0.59,26.0,62.0,28.0,18.2,
315,2.5,0.6,22.0,60.0,26.0,14.9,
316,2.6,0.62,17.0,56.0,24.0,12.5,
317,2.5,0.62,14.0,55.0,23.0,11.3,
318,2.8,0.61,11.0,52.0,21.0,10.6,
319,2.8,0.57,10.0,50.0,20.0,9.4,
320,2.4,0.55,8.0,48.0,18.0,8.3,
321,2.6,0.52,7.0,46.0,17.0,7.1,
322,2.7,0.5,6.0,44.0,16.0,8.4,
323,2.4,0.49,5.0,42.0,14.0,10.4,
324,2.5,0.47,5.0,40.0,13.0,14.0,
325,2.7,0.49,4.0,40.0,12.0,21.1,
326,2.8,0.49,5.0,40.0,12.0,22.7,
327,2.5,0.48,8.0,43.0,13.0,12.5,
328,2.6,0.46,12.0,46.0,14.0,10.0,
329,2.8,0.45,17.0,48.0,16.0,9.6,
330,2.5,0.45,22.0,56.0,23.0,11.7,
331,2.4,0.45,26.0,59.0,25.0,11.7,
332,2.5,0.44,31.0,62.0,28.0,12.7,
333,2.4,0.43,35.0,66.0,30.0,16.4,
334,2.5,0.43,36.0,64.0,28.0,16.9,
335,2.9,0.45,36.0,64.0,29.0,18.4,
336,2.5,0.48,34.0,64.0,29.0,19.4,
337,2.7,0.5,31.0,64.0,29.0,18.9,
338,2.7,0.53,27.0,64.0,30.0,21.0,
339,2.6,0.52,23.0,63.0,29.0,15.5,
340,2.7,0.52,19.0,59.0,27.0,13.0,
341,2.4,0.51,16.0,58.0,25.0,12.2,
342,2.6,0.5,14.0,53.0,22.0,11.7,
343,2.5,0.47,12.0,52.0,21.0,11.5,
344,2.6,0.45,12.0,52.0,21.0,9.5,
345,2.5,0.41,12.0,50.0,19.0,8.4,
346,2.6,0.38,12.0,48.0,17.0,10.8,
347,2.7,0.38,12.0,44.0,15.0,13.4,
348,2.5,0.39,11.0,42.0,13.0,15.7,
349,2.4,0.39,11.0,43.0,13.0,16.4,
350,2.5,0.39,12.0,43.0,13.0,16.1,
351,2.6,0.4,14.0,44.0,13.0,14.9,
352,2.7,0.41,16.0,45.0,14.0,12.5,
353,2.8,0.44,18.0,48.0,16.0,11.4,
354,2.5,0.45,20.0,49.0,17.0,10.9,
355,2.5,0.45,23.0,50.0,17.0,10.3,
356,2.6,0.44,26.0,48.0,15.0,10.6,
357,2.6,0.45,28.0,44.0,12.0,18.6,
358,2.6,0.47,29.0,48.0,15.0,22.6,
359,2.5,0.5,28.0,54.0,21.0,21.3,
360,2.5,0.53,26.0,60.0,27.0,20.0,
361,2.8,0.55,24.0,65.0,31.0,20.3,
362,2.7,0.57,21.0,66.0,32.0,22.6,
363,2.7,0.6,17.0,63.0,30.0,19.8,
364,2.8,0.62,14.0,61.0,29.0,15.4,
365,2.6,0.64,12.0,60.0,28.0,11.3,
366,2.5,0.62,9.0,58.0,27.0,10.2,
367,2.4,0.6,7.0,58.0,27.0,9.5,
368,2.8,0.57,5.0,58.0,27.0,8.6,
369,2.8,0.55,4.0,56.0,26.0,7.0,
370,2.5,0.52,4.0,53.0,24.0,9.0,
371,2.8,0.5,3.0,49.0,21.0,10.1,
372,2.5,0.47,3.0,46.0,18.0,11.8,
373,2.8,0.45,4.0,43.0,15.0,14.4,
374,2.9,0.45,4.0,42.0,13.0,31.3,
375,2.7,0.45,7.0,45.0,15.0,18.2,
376,2.7,0.45,10.0,46.0,15.0,12.5,
377,2.9,0.44,15.0,48.0,17.0,10.1,
378,2.5,0.44,20.0,52.0,20.0,10.0,
379,2.6,0.44,25.0,55.0,21.0,8.5,
380,2.6,0.44,30.0,59.0,25.0,10.5,
381,2.7,0.44,34.0,62.0,27.0,10.7,
382,2.7,0.44,37.0,64.0,29.0,13.8,
383,2.8,0.44,37.0,66.0,31.0,14.9,
384,2.8,0.43,36.0,65.0,30.0,11.4,
385,2.9,0.43,34.0,64.0,29.0,12.0,
386,2.7,0.43,31.0,62.0,29.0,14.2,
387,2.6,0.43,27.0,58.0,26.0,11.5,
388,2.5,0.43,24.0,56.0,25.0,9.7,
389,2.4,0.43,21.0,56.0,24.0,9.1,
390,2.5,0.41,18.0,53.0,22.0,9.0,
391,2.7,0.4,16.0,52.0,22.0,8.9,
392,2.8,0.4,14.0,51.0,21.0,8.8,
393,2.8,0.4,12.0,50.0,20.0,6.8,
394,2.6,0.4,11.0,48.0,19.0,8.8,
395,2.7,0.4,10.0,46.0,17.0,11.6,
396,2.9,0.43,9.0,46.0,17.0,17.7,
397,3.0,0.48,8.0,48.0,18.0,28.2,
398,2.7,0.51,9.0,52.0,22.0,20.9,
399,2.8,0.53,11.0,55.0,24.0,14.0,
400,2.4,0.54,13.0,58.0,25.0,13.4,
401,2.8,0.54,16.0,60.0,27.0,11.8,
402,2.8,0.54,19.0,61.0,28.0,10.1,
403,2.5,0.54,22.0,62.0,29.0,11.4,
404,2.8,0.51,26.0,64.0,31.0,13.1,
405,2.6,0.46,28.0,63.0,30.0,17.7,
406,2.7,0.45,27.0,63.0,29.0,23.2,
407,2.8,0.48,25.0,62.0,28.0,23.8,
408,2.8,0.48,25.0,62.0,28.0,23.8,
409,2.8,0.48,0.0,62.0,28.0,23.8,
410,2.8,0.48,0.0,62.0,28.0,23.8,
411,2.7,0.5,16.0,52.0,21.0,15.3,
412,2.7,0.5,13.0,48.0,19.0,12.4,
413,2.7,0.5,10.0,48.0,18.0,12.0,
414,3.0,0.5,8.0,46.0,17.0,11.5,
415,2.5,0.47,6.0,44.0,16.0,11.9,
416,2.9,0.44,5.0,44.0,16.0,11.6,
417,2.7,0.41,4.0,42.0,15.0,10.4,
418,2.8,0.4,4.0,40.0,13.0,8.2,
419,2.6,0.4,3.0,38.0,11.0,10.7,
