,SO2,O3,PM10,PM25,NO2,pr
0,3.2,20,25.0,5.0,6.8,
1,4.2,21,21.0,4.0,5.3,
2,3.2,22,20.0,4.0,6.3,
3,3.6,24,18.0,4.0,6.7,
4,4.4,26,18.0,4.0,6.4,
5,2.9,31,28.0,12.0,9.8,
6,2.7,32,36.0,15.0,11.9,
7,2.9,33,40.0,16.0,11.0,
8,3.1,34,52.0,18.0,11.3,
9,3.4,35,71.0,23.0,10.2,
10,3.2,36,94.0,28.0,9.7,
11,3.5,36,104.0,32.0,11.2,
12,3.4,36,109.0,36.0,10.3,
13,3.6,37,105.0,40.0,10.4,
14,3.6,36,104.0,43.0,11.8,
15,3.5,36,102.0,41.0,9.1,
16,3.6,35,108.0,48.0,7.6,
17,3.1,34,120.0,50.0,6.4,
18,2.7,34,111.0,51.0,5.3,
19,2.6,34,110.0,51.0,4.7,
20,1.5,34,92.0,43.0,4.2,
21,2.4,34,68.0,35.0,6.8,
22,2.5,35,54.0,30.0,5.2,
23,3.1,35,44.0,28.0,5.7,
24,3.9,16,19.0,9.0,16.4,
25,4.5,17,18.0,12.0,19.0,
26,4.1,18,20.0,15.0,20.9,
27,3.9,18,20.0,15.0,22.8,
28,3.5,18,20.0,15.0,19.3,
29,3.5,16,22.0,15.0,17.3,
30,3.6,15,27.0,14.0,20.3,
31,4.5,12,28.0,14.0,25.9,
32,4.6,10,28.0,16.0,22.0,
33,4.2,9,30.0,17.0,20.6,
34,4.1,7,26.0,18.0,22.1,
35,5.8,7,24.0,17.0,14.4,
36,3.4,6,22.0,16.0,12.9,
37,4.4,6,20.0,16.0,13.7,
38,4.0,6,20.0,14.0,13.9,
39,3.4,6,18.0,13.0,11.9,
40,3.4,6,18.0,13.0,11.9,
41,3.7,7,12.0,10.0,13.9,
42,3.7,7,8.0,10.0,18.0,
43,4.1,7,8.0,8.0,16.5,
44,3.5,7,9.0,8.0,15.4,
45,4.1,10,11.0,7.0,14.5,
46,3.5,13,11.0,8.0,10.8,
47,5.0,15,12.0,7.0,13.0,
48,4.9,17,12.0,7.0,14.7,
49,3.5,19,16.0,8.0,11.9,
50,4.4,22,17.0,8.0,12.8,
51,3.6,24,20.0,8.0,6.3,
52,3.0,26,24.0,8.0,6.3,
53,3.7,27,25.0,8.0,7.2,
54,3.5,27,30.0,10.0,7.1,
55,3.1,27,32.0,9.0,6.7,
56,2.6,27,32.0,9.0,6.2,
57,3.1,27,34.0,8.0,5.7,
58,2.9,26,32.0,6.0,8.3,
59,2.9,23,33.0,8.0,13.2,
60,3.9,21,35.0,8.0,14.7,
61,4.0,18,36.0,9.0,15.4,
62,3.5,16,35.0,9.0,9.6,
63,2.9,15,36.0,10.0,11.5,
64,2.7,14,35.0,10.0,13.4,
65,2.1,14,34.0,9.0,11.8,
66,2.0,15,32.0,8.0,7.9,
67,2.4,17,32.0,8.0,8.3,
68,2.4,20,32.0,9.0,7.8,
69,2.9,23,33.0,10.0,7.2,
70,3.1,25,32.0,11.0,8.2,
71,3.9,28,32.0,10.0,8.2,
72,3.4,32,32.0,10.0,8.1,
73,2.5,33,32.0,11.0,7.8,
74,2.7,34,37.0,11.0,9.9,
75,2.2,35,38.0,11.0,8.1,
76,2.4,35,38.0,12.0,5.9,
77,2.0,35,39.0,12.0,9.6,
78,1.9,33,38.0,13.0,10.3,
79,2.2,32,39.0,14.0,7.9,
80,1.7,30,38.0,14.0,9.9,
81,2.0,29,40.0,14.0,7.9,
82,2.5,28,39.0,13.0,8.8,
83,3.7,27,39.0,12.0,9.6,
84,2.9,26,39.0,13.0,9.3,
85,3.1,26,36.0,12.0,8.6,
86,2.9,26,34.0,12.0,9.6,
87,2.9,25,32.0,11.0,9.1,
88,1.7,25,32.0,10.0,10.3,
89,2.4,26,32.0,10.0,9.8,
90,2.5,36,50.0,14.0,9.6,
91,2.7,37,54.0,18.0,10.4,
92,2.5,37,54.0,19.0,13.8,
93,3.0,37,49.0,20.0,13.0,
94,2.4,36,46.0,20.0,13.9,
95,2.7,35,42.0,19.0,11.4,
96,2.0,33,38.0,17.0,8.4,
97,2.0,32,36.0,15.0,8.6,
98,1.7,32,34.0,15.0,8.3,
99,2.0,31,33.0,14.0,8.8,
100,2.5,31,32.0,15.0,10.1,
101,3.1,31,31.0,16.0,10.8,
102,2.4,31,30.0,14.0,10.5,
103,3.0,31,29.0,14.0,10.2,
104,2.6,31,28.0,13.0,11.4,
105,2.0,31,25.0,13.0,12.2,
106,1.7,31,25.0,13.0,12.0,
107,1.3,31,26.0,12.0,11.3,
108,1.6,32,26.0,13.0,10.7,
