,SO2,CO,PM10,PM25,NO2,pr
0,2.4,0.2,38.0,6.0,5.4,
1,2.4,0.2,38.0,6.0,5.4,
2,2.4,0.2,38.0,6.0,5.4,
3,2.4,0.2,38.0,6.0,5.4,
4,2.4,0.2,38.0,6.0,5.4,
5,2.3,0.1,30.0,6.0,7.2,
6,2.5,0.1,30.0,6.0,9.6,
7,2.7,0.1,35.0,5.0,6.6,
8,3.0,0.1,39.0,5.0,7.2,
9,2.9,0.1,44.0,5.0,7.7,
10,2.7,0.1,48.0,5.0,6.5,
11,2.4,0.1,52.0,5.0,7.2,
12,2.6,0.1,58.0,5.0,9.1,
13,2.7,0.1,63.0,5.0,10.2,
14,2.5,0.1,65.0,5.0,12.4,
15,2.5,0.1,66.0,4.0,14.5,
16,2.8,0.2,64.0,6.0,10.1,
17,2.7,0.2,62.0,6.0,10.3,
18,2.1,0.2,58.0,5.0,10.1,
19,1.9,0.2,52.0,4.0,9.3,
20,1.7,0.2,46.0,3.0,4.4,
21,1.8,0.2,38.0,2.0,5.8,
22,1.9,0.2,32.0,2.0,4.0,
23,1.9,0.2,27.0,1.0,3.4,
24,2.1,0.3,25.0,7.0,11.5,
25,2.4,0.3,26.0,7.0,11.0,
26,2.6,0.3,27.0,6.0,20.5,
27,2.9,0.3,26.0,6.0,23.6,
28,3.3,0.37,27.0,6.0,21.5,
29,2.5,0.39,29.0,8.0,18.9,
30,2.5,0.41,28.0,8.0,15.4,
31,2.1,0.42,27.0,8.0,9.6,
32,2.1,0.42,24.0,7.0,6.8,
33,1.8,0.42,22.0,7.0,6.3,
34,2.0,0.39,22.0,6.0,6.4,
35,1.9,0.33,22.0,5.0,4.9,
36,1.9,0.27,21.0,4.0,4.2,
37,2.1,0.24,22.0,4.0,1.2,
38,2.0,0.2,21.0,3.0,1.9,
39,2.0,0.19,20.0,2.0,1.5,
40,1.9,0.18,17.0,2.0,4.1,
41,2.0,0.17,14.0,1.0,5.2,
42,2.3,0.18,13.0,1.0,6.0,
43,2.1,0.18,14.0,1.0,5.0,
44,2.0,0.18,16.0,1.0,4.6,
45,2.1,0.2,17.0,1.0,6.2,
46,1.9,0.2,16.0,1.0,5.5,
47,2.1,0.2,14.0,1.0,5.7,
48,2.1,0.21,12.0,1.0,9.0,
49,2.1,0.23,12.0,1.0,12.0,
50,2.3,0.27,12.0,2.0,15.3,
51,2.3,0.3,14.0,3.0,12.6,
52,2.3,0.32,18.0,4.0,8.8,
53,2.5,0.33,20.0,5.0,7.4,
54,2.6,0.4,19.0,4.0,6.6,
55,2.7,0.4,17.0,4.0,4.0,
56,2.4,0.4,16.0,3.0,3.4,
57,2.4,0.4,16.0,3.0,3.2,
58,2.3,0.4,16.0,3.0,3.0,
59,2.5,0.3,18.0,2.0,2.5,
60,2.2,0.3,18.0,2.0,1.2,
61,2.1,0.3,18.0,2.0,1.3,
62,2.2,0.3,19.0,1.0,1.0,
63,2.5,0.3,20.0,1.0,1.9,
64,2.5,0.3,22.0,2.0,4.1,
65,3.4,0.3,24.0,2.0,11.0,
66,3.3,0.3,26.0,3.0,17.3,
67,3.3,0.3,28.0,3.0,17.3,
68,2.1,0.3,32.0,6.0,8.4,
69,1.9,0.29,34.0,6.0,5.6,
70,1.8,0.26,37.0,7.0,6.3,
71,1.7,0.23,38.0,8.0,6.6,
72,1.6,0.2,38.0,8.0,8.7,
73,2.0,0.16,39.0,9.0,11.7,
74,2.2,0.12,42.0,9.0,15.9,
75,2.4,0.13,46.0,10.0,13.9,
76,1.9,0.14,48.0,9.0,10.2,
77,1.3,0.15,50.0,9.0,10.2,
78,1.4,0.17,50.0,10.0,10.9,
79,1.5,0.18,48.0,9.0,12.1,
80,1.5,0.18,45.0,10.0,10.6,
81,1.6,0.18,44.0,11.0,9.5,
82,1.9,0.16,43.0,11.0,10.4,
83,1.9,0.15,44.0,11.0,10.7,
84,1.7,0.14,44.0,9.0,9.7,
85,1.5,0.13,44.0,9.0,10.0,
86,1.5,0.11,42.0,8.0,8.7,
87,1.3,0.1,40.0,8.0,10.0,
88,2.0,0.11,36.0,9.0,12.2,
89,1.8,0.13,34.0,9.0,10.4,
90,1.7,0.13,48.0,6.0,8.8,
91,1.7,0.11,48.0,5.0,12.5,
92,2.0,0.12,52.0,7.0,16.8,
93,1.7,0.13,55.0,7.0,14.8,
94,1.7,0.14,54.0,7.0,13.5,
95,1.7,0.14,50.0,7.0,11.6,
96,1.8,0.15,44.0,6.0,10.7,
97,1.5,0.15,40.0,6.0,7.7,
98,1.8,0.15,36.0,5.0,5.5,
99,1.6,0.14,32.0,5.0,4.0,
