,SO2,CO,O3,PM10,PM25,NO2,NO,pr
0,1.4,0.55,8.6,35.0,26.0,19.0,4.6,
1,2.2,0.52,7.5,33.0,16.0,17.0,4.2,
2,0.8,0.44,31.0,14.0,12.0,8.4,4.2,
3,1.6,0.42,30.0,12.0,9.0,8.4,4.2,
4,1.4,0.45,32.0,17.0,14.0,7.5,-0.3,
5,1.2,0.44,33.0,11.0,11.0,7.3,-0.2,
6,1.4,0.46,31.0,18.0,14.0,8.8,-0.2,
7,1.7,0.56,25.0,22.0,3.0,15.0,1.0,
8,1.4,0.51,28.0,36.0,13.0,15.0,1.0,
9,2.0,0.47,30.0,36.0,17.0,11.0,2.7,
10,2.0,0.47,30.0,36.0,17.0,11.0,2.7,
11,2.0,0.47,30.0,36.0,17.0,9.3,1.5,
12,2.0,0.48,51.0,41.0,35.0,8.9,1.2,
13,2.0,0.48,53.0,55.0,20.0,8.9,1.2,
14,2.4,0.51,53.0,64.0,26.0,8.9,1.2,
15,2.0,0.5,52.0,69.0,21.0,8.9,1.2,
16,1.7,0.51,44.0,66.0,29.0,8.9,1.2,
17,1.7,0.56,31.0,58.0,28.0,8.9,1.2,
18,1.3,0.58,23.0,58.0,30.0,16.0,1.4,
19,1.2,0.55,20.0,52.0,28.0,22.0,1.6,
20,1.0,0.55,26.0,46.0,20.0,14.0,1.1,
21,1.0,0.55,29.0,40.0,18.0,9.9,0.8,
22,1.0,0.52,29.0,39.0,19.0,11.0,1.0,
23,1.0,0.5,32.0,37.0,22.0,8.6,0.9,
24,1.0,0.49,31.0,41.0,21.0,8.5,1.0,
25,2.1,0.46,32.0,43.0,15.0,7.1,0.3,
26,1.9,0.48,35.0,42.0,21.0,6.2,0.8,
27,2.0,0.46,35.0,42.0,30.0,6.2,0.9,
28,2.2,0.43,34.0,47.0,34.0,7.1,0.9,
29,2.0,0.43,37.0,53.0,29.0,5.0,1.0,
30,2.1,0.41,36.0,46.0,21.0,5.6,1.2,
31,2.4,0.49,29.0,40.0,27.0,11.0,1.9,
32,2.7,0.51,26.0,47.0,30.0,13.0,3.2,
33,2.6,0.44,28.0,53.0,27.0,14.0,5.1,
34,2.3,0.42,35.0,54.0,24.0,12.0,5.2,
35,2.8,0.45,42.0,33.0,21.0,12.0,4.3,
36,3.0,0.46,54.0,43.0,21.0,13.0,3.3,
37,2.6,0.39,66.0,59.0,35.0,9.6,2.1,
38,2.6,0.36,69.0,59.0,31.0,10.0,1.7,
39,2.6,0.39,62.0,58.0,32.0,14.0,2.1,
40,3.3,0.44,55.0,65.0,37.0,14.0,2.1,
41,3.3,0.5,42.0,72.0,40.0,14.0,2.1,
42,3.0,0.51,34.0,71.0,44.0,22.0,1.5,
43,3.7,0.55,27.0,72.0,45.0,23.0,1.7,
44,3.7,0.58,21.0,71.0,46.0,24.0,1.5,
45,3.2,0.56,18.0,67.0,45.0,25.0,1.2,
46,3.1,0.51,24.0,59.0,33.0,16.0,1.2,
