,SO2,CO,PM10,PM25,NO2,pr
0,1.6,0.3,36.0,4.0,6.5,
1,1.4,0.3,34.0,4.0,5.0,
2,1.2,0.3,32.0,18.0,5.1,
3,0.7,0.3,31.0,22.0,4.4,
4,0.9,0.3,32.0,22.0,4.4,
5,0.9,0.3,44.0,6.0,7.3,
6,0.6,0.4,46.0,6.0,7.8,
7,0.8,0.4,50.0,6.0,8.3,
8,0.8,0.4,58.0,6.0,8.3,
9,1.9,0.4,61.0,22.0,7.7,
10,1.7,0.4,68.0,7.0,7.5,
11,1.7,0.4,68.0,7.0,7.5,
12,1.7,0.4,73.0,5.0,7.7,
13,1.7,0.4,74.0,5.0,8.2,
14,1.7,0.4,72.0,5.0,8.8,
15,1.4,0.4,72.0,5.0,8.6,
16,1.5,0.4,74.0,5.0,7.8,
17,1.6,0.4,81.0,6.0,6.3,
18,1.4,0.4,79.0,7.0,6.3,
19,1.3,0.4,70.0,6.0,6.3,
20,1.4,0.4,58.0,6.0,4.3,
21,1.3,0.4,46.0,4.0,4.6,
22,1.7,0.4,38.0,3.0,4.5,
23,1.9,0.4,32.0,2.0,4.3,
24,2.7,0.5,21.0,6.0,18.7,
25,2.3,0.5,22.0,9.0,17.9,
26,2.3,0.5,24.0,12.0,18.3,
27,2.2,0.5,27.0,12.0,22.1,
28,2.2,0.56,28.0,12.0,24.5,
29,2.2,0.59,28.0,12.0,22.7,
30,2.4,0.61,28.0,12.0,21.0,
31,2.3,0.62,28.0,13.0,20.4,
32,2.4,0.66,29.0,14.0,27.1,
33,2.2,0.69,31.0,15.0,25.1,
34,2.5,0.7,32.0,16.0,16.6,
35,2.7,0.69,30.0,14.0,16.5,
36,2.5,0.66,28.0,12.0,13.8,
37,2.3,0.65,26.0,10.0,10.9,
38,2.3,0.62,24.0,7.0,10.7,
39,2.5,0.59,23.0,7.0,10.5,
40,2.4,0.54,21.0,6.0,10.3,
41,2.3,0.5,20.0,5.0,12.4,
42,2.5,0.5,18.0,5.0,14.1,
43,2.4,0.5,16.0,4.0,15.0,
44,2.7,0.51,16.0,3.0,14.2,
45,2.4,0.51,15.0,2.0,10.9,
46,2.7,0.52,15.0,2.0,11.5,
47,2.5,0.54,16.0,2.0,12.9,
48,2.6,0.54,16.0,3.0,10.0,
49,2.7,0.54,18.0,5.0,17.0,
50,2.5,0.55,19.0,5.0,15.1,
51,2.4,0.54,20.0,6.0,10.4,
52,2.3,0.54,24.0,6.0,6.8,
53,2.7,0.55,25.0,6.0,8.1,
54,2.2,0.5,28.0,5.0,9.1,
55,2.5,0.5,28.0,5.0,7.1,
56,2.2,0.5,28.0,4.0,9.9,
57,2.4,0.5,30.0,4.0,16.7,
58,2.3,0.5,31.0,5.0,10.3,
59,3.4,0.5,30.0,5.0,16.7,
60,3.2,0.5,30.0,5.0,15.0,
61,3.9,0.5,29.0,4.0,16.8,
62,4.1,0.5,28.0,4.0,17.5,
63,4.2,0.5,28.0,5.0,16.8,
64,4.0,0.5,29.0,7.0,15.3,
65,3.1,0.5,32.0,7.0,11.3,
66,2.6,0.5,34.0,8.0,8.5,
67,2.6,0.5,35.0,8.0,7.3,
68,2.5,0.5,35.0,8.0,6.6,
69,2.4,0.5,34.0,8.0,5.8,
70,2.8,0.5,34.0,8.0,6.2,
71,2.5,0.49,35.0,8.0,6.5,
72,2.6,0.45,36.0,9.0,6.7,
73,2.4,0.43,36.0,10.0,7.2,
74,2.3,0.43,38.0,10.0,9.4,
75,2.3,0.43,38.0,9.0,6.4,
76,2.1,0.43,38.0,8.0,6.0,
77,2.6,0.44,38.0,8.0,8.6,
78,2.6,0.44,38.0,8.0,7.4,
79,2.5,0.44,37.0,9.0,6.4,
80,2.7,0.44,36.0,9.0,7.8,
81,2.7,0.43,36.0,10.0,10.3,
82,2.3,0.4,36.0,9.0,10.6,
83,3.0,0.39,35.0,7.0,9.4,
84,2.9,0.38,35.0,7.0,9.4,
85,3.2,0.34,34.0,6.0,9.8,
86,3.1,0.34,34.0,7.0,9.2,
87,3.2,0.32,32.0,8.0,10.7,
88,2.7,0.32,31.0,8.0,9.8,
89,2.8,0.32,30.0,8.0,8.4,
90,2.2,0.31,31.0,6.0,5.8,
91,2.5,0.31,32.0,7.0,7.1,
92,2.3,0.31,32.0,7.0,8.3,
93,2.3,0.31,30.0,7.0,8.2,
94,2.2,0.31,29.0,7.0,9.5,
95,2.4,0.32,28.0,6.0,10.9,
96,3.0,0.34,27.0,6.0,9.9,
97,2.9,0.34,26.0,6.0,8.5,
98,2.8,0.34,26.0,6.0,6.8,
99,2.5,0.34,26.0,6.0,6.5,
100,2.9,0.34,26.0,5.0,7.0,
101,3.0,0.34,26.0,5.0,7.1,
102,3.0,0.34,28.0,5.0,7.4,
103,3.0,0.31,28.0,5.0,7.0,
104,2.6,0.3,28.0,7.0,6.1,
105,2.5,0.3,27.0,7.0,7.3,
106,2.6,0.31,28.0,7.0,7.0,
107,2.4,0.32,26.0,7.0,7.7,
108,2.2,0.32,25.0,6.0,6.7,
109,2.5,0.32,26.0,5.0,7.0,
110,2.1,0.34,28.0,7.0,6.7,
111,2.0,0.35,29.0,6.0,6.8,
112,2.0,0.35,29.0,7.0,5.9,
113,2.1,0.35,28.0,8.0,7.1,
114,2.1,0.34,28.0,7.0,7.5,
115,2.2,0.34,29.0,8.0,8.0,
116,2.2,0.36,32.0,9.0,10.6,
117,2.2,0.37,34.0,9.0,9.7,
118,2.3,0.37,34.0,10.0,8.3,
119,2.1,0.39,36.0,10.0,7.5,
120,2.7,0.39,35.0,10.0,8.1,
121,3.0,0.39,35.0,10.0,7.7,
122,2.4,0.39,34.0,9.0,7.6,
123,3.3,0.38,33.0,9.0,9.3,
124,2.5,0.36,34.0,9.0,9.0,
125,3.5,0.35,35.0,8.0,7.4,
126,2.4,0.34,34.0,8.0,5.5,
127,2.4,0.3,34.0,9.0,5.5,
128,2.5,0.29,33.0,9.0,6.8,
129,2.6,0.29,34.0,9.0,7.3,
130,2.7,0.29,36.0,9.0,9.0,
131,2.8,0.29,38.0,9.0,10.0,
132,2.4,0.29,39.0,9.0,9.9,
133,2.8,0.29,40.0,9.0,8.3,
134,2.7,0.29,38.0,10.0,7.5,
135,2.1,0.31,38.0,10.0,7.8,
136,2.1,0.31,38.0,11.0,6.5,
137,2.0,0.31,36.0,10.0,5.3,
138,2.3,0.31,36.0,10.0,6.9,
139,2.6,0.32,36.0,9.0,10.7,
140,2.2,0.34,36.0,9.0,11.8,
141,2.3,0.35,36.0,8.0,11.1,
142,2.2,0.36,34.0,9.0,9.4,
143,2.3,0.37,32.0,9.0,9.2,
144,2.2,0.38,32.0,9.0,7.9,
145,2.2,0.38,32.0,9.0,7.9,
