,SO2,CO,O3,PM10,PM25,NO2,pr
0,0.8,1.1,13.0,34.0,18.0,13.0,
1,1.1,1.0,13.0,32.0,18.0,13.4,
2,1.1,1.0,13.0,32.0,18.0,13.4,
3,1.1,1.0,13.0,32.0,18.0,13.4,
4,0.9,0.9,13.0,33.0,18.0,8.0,
5,1.2,0.7,26.0,44.0,19.0,12.6,
6,1.2,0.8,29.0,45.0,19.0,13.4,
7,1.4,0.8,31.0,50.0,18.0,14.1,
8,1.5,0.8,32.0,56.0,18.0,12.3,
9,1.7,0.8,33.0,64.0,18.0,12.1,
10,1.4,0.8,35.0,70.0,18.0,10.4,
11,1.4,0.8,35.0,68.0,17.0,12.9,
12,1.4,0.8,35.0,64.0,16.0,12.7,
13,1.3,0.8,35.0,58.0,16.0,14.3,
14,1.5,0.8,34.0,56.0,16.0,14.2,
15,1.4,0.8,33.0,58.0,16.0,13.4,
16,1.3,0.8,32.0,57.0,16.0,13.4,
17,1.3,0.9,30.0,58.0,15.0,13.2,
18,1.2,0.9,28.0,54.0,16.0,12.8,
19,1.1,0.9,27.0,52.0,15.0,11.1,
20,0.9,0.9,26.0,43.0,14.0,9.6,
21,0.9,0.9,26.0,34.0,14.0,9.8,
22,1.0,0.8,27.0,28.0,13.0,8.0,
23,1.0,0.8,28.0,27.0,14.0,8.0,
24,1.3,1.01,16.0,36.0,25.0,18.9,
25,1.5,1.0,17.0,36.0,25.0,23.7,
26,1.5,1.0,17.0,36.0,24.0,24.3,
27,1.4,1.0,18.0,35.0,22.0,24.5,
28,1.5,1.09,18.0,34.0,23.0,28.0,
29,1.5,1.21,16.0,34.0,24.0,28.6,
30,1.4,1.23,12.0,35.0,25.0,28.6,
31,1.4,1.24,9.0,36.0,26.0,24.3,
32,1.6,1.23,8.0,36.0,25.0,17.8,
33,1.3,1.14,7.0,34.0,24.0,16.6,
34,1.3,1.07,7.0,34.0,22.0,15.7,
35,1.3,1.01,6.0,33.0,22.0,15.7,
36,1.3,0.94,6.0,32.0,23.0,15.7,
37,1.0,0.79,5.0,31.0,21.0,10.4,
38,0.9,0.76,6.0,28.0,22.0,10.3,
39,0.8,0.76,6.0,27.0,19.0,11.5,
40,0.8,0.76,7.0,26.0,18.0,10.2,
41,0.8,0.81,7.0,26.0,17.0,12.1,
42,0.9,0.89,7.0,24.0,14.0,16.1,
43,0.9,0.91,8.0,24.0,14.0,16.4,
44,1.0,0.9,8.0,23.0,14.0,16.1,
45,1.2,1.01,9.0,24.0,17.0,23.5,
46,1.2,1.06,10.0,24.0,17.0,20.7,
47,1.0,1.13,11.0,25.0,18.0,28.7,
48,1.2,1.21,11.0,26.0,19.0,30.1,
49,1.3,1.28,11.0,30.0,22.0,38.4,
50,1.5,1.39,10.0,32.0,25.0,35.0,
51,1.4,1.5,9.0,34.0,26.0,31.1,
52,1.6,1.61,8.0,35.0,27.0,29.2,
53,1.5,1.59,7.0,34.0,26.0,22.9,
