"PublishTime","SiteName","SO2","CO","PM25","O3","PM10","NO2","NOx","NO"
"2019-12-13 00:00","交通監測車","1.7","2.04","41","5","69","41.8",,
"2019-12-13 00:00","大里交通測站","1.3","1.28","43","4","89","38.1",,
"2019-12-13 00:00","大里","2.5","0.83","45","1.5","68","32","39","6.6"
"2019-12-13 00:00","西屯","2","0.61","32","12","58","28","29","1.2"
"2019-12-13 00:00","沙鹿","2.3","0.54","36","13","51","29","30","1.6"
"2019-12-13 00:00","忠明","2.7","0.95","32","3.8","60","42","57","15"
"2019-12-13 00:00","豐原","0.7","0.39","25","28","40","15","15","0"
"2019-12-13 00:00","文山","1.8","0.66","36","30","72","32.9",,
"2019-12-13 00:00","大甲","2.2","0.77","26","28","68","24.2",,
"2019-12-13 00:00","太平","1.3","0.52","31","19","64","15.0",,
"2019-12-13 00:00","霧峰","1.3","0.69","30","11","64","14.8",,
"2019-12-13 00:00","烏日","1.3","0.53","34","15","94","35.3",,
"2019-12-13 00:00","后里","2.2","0.45","31","23","71","20.3",,
"2019-12-13 00:00","梧棲","2.6","NA","29","35","104","18.3",,
"2019-12-13 00:00","大肚","2.3","NA","31","33","92","24.0",,
"2019-12-13 00:00","東大","2.8","NA","30","29","60","40.5",,
"2019-12-13 00:00","清水","1.2","NA","27","32","82","26.3",,
"2019-12-13 00:00","龍井","7.6","0.46","25","34","82","27.0",,
"2019-12-13 01:00","交通監測車","1.5","1.93","41","4","71","43.4",,
"2019-12-13 01:00","大里交通測站","1.0","1.09","36","4","78","33.7",,
"2019-12-13 01:00","大里","2.1","0.82","36","0.5","64","30","38","7.6"
"2019-12-13 01:00","西屯","2.6","0.78","39","3.8","66","38","47","9.3"
"2019-12-13 01:00","沙鹿","2.8","0.58","36","8.6","57","31","33","2"
"2019-12-13 01:00","忠明","3","0.7","37","7.6","63","33","37","3.8"
"2019-12-13 01:00","豐原","0.9","0.35","26","32","41","14","14","0.1"
"2019-12-13 01:00","文山","1.9","0.70","37","23","70","32.9",,
"2019-12-13 01:00","大甲","1.7","0.79","27","23","66","26.0",,
"2019-12-13 01:00","太平","1.3","0.52","31","19","64","15.0",,
"2019-12-13 01:00","霧峰","1.2","0.69","30","7","62","14.2",,
"2019-12-13 01:00","烏日","0.7","0.55","35","11","95","31.1",,
"2019-12-13 01:00","后里","2.1","0.48","31","18","68","24.4",,
"2019-12-13 01:00","梧棲","2.1","NA","29","27","98","24.7",,
"2019-12-13 01:00","大肚","2.5","NA","30","21","84","30.5",,
"2019-12-13 01:00","東大","2.8","NA","33","17","60","41.1",,
"2019-12-13 01:00","清水","1.2","NA","26","21","70","27.1",,
"2019-12-13 01:00","龍井","3.6","0.49","26","25","78","18.0",,
"2019-12-13 02:00","大里交通測站","1.2","1.08","36","4","70","31.9",,
"2019-12-13 02:00","交通監測車","1.6","1.70","43","4","80","39.7",,
"2019-12-13 02:00","大里","2.6","0.64","34","1","59","27","31","4.3"
"2019-12-13 02:00","西屯","2.3","0.75","41","3.3","70","35","55","20"
"2019-12-13 02:00","沙鹿","1.6","0.67","29","3.6","53","34","40","5.4"
"2019-12-13 02:00","忠明","2.4","0.72","33","4.9","59","35","41","5.4"
"2019-12-13 02:00","豐原","1.5","0.36","26","28","38","9.3","11","1.3"
"2019-12-13 02:00","文山","1.7","0.73","39","18","70","27.5",,
"2019-12-13 02:00","大甲","1.9","0.77","28","20","65","20.6",,
"2019-12-13 02:00","太平","1.0","0.48","31","15","60","13.1",,
"2019-12-13 02:00","霧峰","1.2","0.66","30","6","62","13.8",,
"2019-12-13 02:00","烏日","1.2","0.55","35","9","95","29.0",,
"2019-12-13 02:00","后里","1.4","0.50","32","15","68","23.2",,
"2019-12-13 02:00","梧棲","2.2","NA","28","23","94","27.2",,
