,SiteName,PM2.5,Latitude,Longitude
,SiteName,移動平均濃度(μg/m3),,
0,西屯測站(環保署),45.0,24.1622,120.616917
1,忠明測站(環保署),46.0,24.151958,120.641092
2,大里測站(環保署),44.0,24.099611,120.677689
3,沙鹿測站(環保署),37.0,24.225628,120.568794
4,豐原測站(環保署),23.0,24.256586,120.741711
5,文山測站,42.0,24.139008,120.597876
6,大甲測站,31.0,24.350426,120.615358
7,太平測站,25.0,24.139564,120.715064
8,霧峰測站,31.0,24.05735,120.697299
9,烏日測站,45.0,24.094264,120.646629
10,后里測站,29.0,24.307036,120.714881
11,梧棲站(台電),58.0,24.250388,120.538839
12,大肚站(台電),50.0,24.150919,120.540877
13,東大站(台電),38.0,24.182055,120.60707
14,清水站(台電),39.0,24.269233,120.576421
15,龍井站(台電),36.0,24.20103,120.498566
