,datetime,device_id,latitude,longitude,pm25,areaname,Id
0,2019-11-04 10:56:48,1858224692,24.975056,121.330402,7.0,新北市鶯歌區,1
3,2019-11-04 10:57:24,1858569336,24.967298,121.339279,15.0,新北市鶯歌區,4
4,2019-11-04 10:20:53,1858763627,24.973724,121.332481,20.0,新北市鶯歌區,5
5,2019-11-04 10:55:40,1858852981,24.972902,121.342242,28.0,新北市鶯歌區,6
6,2019-11-04 10:56:59,1858981737,24.976159,121.334666,16.0,新北市鶯歌區,7
8,2019-11-04 10:57:44,1860067717,24.94805,121.341753,18.0,新北市鶯歌區,9
9,2019-11-04 10:58:59,1860271203,24.956835,121.360893,11.0,新北市鶯歌區,10
10,2019-11-04 10:55:10,1860464577,24.973736,121.328505,18.0,新北市鶯歌區,11
11,2019-11-04 10:55:57,1860726455,24.95694,121.358481,13.0,新北市鶯歌區,12
13,2019-11-04 10:56:51,1861018038,24.950129,121.348118,17.0,新北市鶯歌區,14
14,2019-11-04 10:58:56,1862163982,24.956971,121.353984,13.0,新北市鶯歌區,15
15,2019-11-04 10:56:47,1862457890,24.970894,121.345517,15.0,新北市鶯歌區,16
16,2019-11-04 10:58:17,1862897586,24.97058,121.331179,17.0,新北市鶯歌區,17
17,2019-11-04 10:55:39,1862971569,24.950401,121.334204,14.0,新北市鶯歌區,18
18,2019-11-04 10:55:40,1863205278,24.959464,121.333213,7.0,新北市鶯歌區,19
19,2019-11-04 10:58:39,1863764400,24.9604,121.330078,18.0,新北市鶯歌區,20
20,2019-11-04 10:55:55,1863877721,24.963708,121.342454,9.0,新北市鶯歌區,21
21,2019-11-04 10:58:55,1864546032,24.971011,121.336552,19.0,新北市鶯歌區,22
22,2019-11-04 10:55:55,1864807098,24.953845,121.350925,10.0,新北市鶯歌區,23
23,2019-11-04 09:34:29,1866611329,24.95083,121.346077,22.0,新北市鶯歌區,24
25,2019-11-04 10:54:01,1867537158,24.956231,121.352497,14.0,新北市鶯歌區,26
26,2019-11-04 10:58:14,1868410882,24.960914,121.342878,7.0,新北市鶯歌區,27
27,2019-11-04 10:51:00,1869361459,24.973444,121.33057,18.0,新北市鶯歌區,28
28,2019-11-04 10:58:25,1869405703,24.968421,121.330661,18.0,新北市鶯歌區,29
30,2019-11-04 10:55:11,1870922171,24.972871,121.328908,21.0,新北市鶯歌區,31
31,2019-11-04 10:15:43,1871660162,24.97138,121.329658,20.0,新北市鶯歌區,32
32,2019-11-04 10:48:37,1871719619,24.97317,121.324933,17.0,新北市鶯歌區,33
34,2019-11-04 10:58:43,1872323519,24.966565,121.344104,14.0,新北市鶯歌區,35
35,2019-11-04 10:53:32,1872914537,24.954554,121.343006,17.0,新北市鶯歌區,36
36,2019-11-04 04:31:55,1873113041,24.967428,121.334672,15.0,新北市鶯歌區,37
37,2019-11-04 10:37:57,1873445981,24.975697,121.32886,13.0,新北市鶯歌區,38
38,2019-11-04 10:50:22,1874297540,24.971423,121.335115,20.0,新北市鶯歌區,39
39,2019-11-04 10:18:57,1875038865,24.969562,121.335098,20.0,新北市鶯歌區,40
40,2019-11-04 10:54:13,1875296284,24.960221,121.332293,17.0,新北市鶯歌區,41
41,2019-11-04 10:58:11,1875569202,24.9744,121.327169,17.0,新北市鶯歌區,42
42,2019-11-04 10:55:11,1875904204,24.953374,121.347424,19.0,新北市鶯歌區,43
43,2019-11-04 06:09:21,1876088555,24.97807,121.330993,18.0,新北市鶯歌區,44
44,2019-11-04 10:58:45,1876319846,24.963579,121.333688,18.0,新北市鶯歌區,45
45,2019-11-04 10:58:25,1876676794,24.952565,121.344614,16.0,新北市鶯歌區,46
46,2019-11-04 10:56:16,1876946022,24.95046,121.343061,7.0,新北市鶯歌區,47
47,2019-11-04 10:55:11,1877096806,24.967985,121.332746,18.0,新北市鶯歌區,48
48,2019-11-04 10:51:27,1877582243,24.976106,121.332306,16.0,新北市鶯歌區,49
49,2019-11-04 10:58:40,1878059463,24.95707,121.343386,18.0,新北市鶯歌區,50
50,2019-11-04 10:50:42,1878306108,24.953217,121.340676,16.0,新北市鶯歌區,51
51,2019-11-04 10:58:32,1879147501,24.951239,121.350103,14.0,新北市鶯歌區,52
52,2019-11-04 06:15:47,1879887225,24.963437,121.33839,13.0,新北市鶯歌區,53
53,2019-11-04 10:58:25,1879918770,24.952591,121.35276,17.0,新北市鶯歌區,54
54,2019-11-04 10:55:47,1880355038,24.949814,121.345481,16.0,新北市鶯歌區,55
55,2019-11-04 10:58:49,1893452977,24.957673,121.333326,19.0,新北市鶯歌區,56
56,2019-11-04 10:55:45,1900679107,24.956968,121.356468,17.0,新北市鶯歌區,57
58,2019-11-04 10:58:41,5733620988,24.972044,121.326135,12.0,新北市鶯歌區,59
59,2019-11-04 10:58:25,5751034897,24.961213,121.334142,17.0,新北市鶯歌區,60
60,2019-11-04 10:58:20,5753260367,24.969321,121.329016,12.0,新北市鶯歌區,61
61,2019-11-04 10:58:23,6170369574,24.161848,120.6049575,16.0,臺中市南屯區,62
62,2019-11-04 10:58:46,6170479504,24.237501,120.517601,14.0,臺中市梧棲區,63
63,2019-11-04 10:58:39,6170511673,24.241976,120.523674,14.0,臺中市梧棲區,64
64,2019-11-04 10:58:34,6170644194,24.15854,120.6066032,13.0,臺中市南屯區,65
65,2019-11-04 10:58:34,6170777118,24.166212,120.5971678,14.0,臺中市西屯區,66
66,2019-11-04 10:58:09,6170852684,24.206862,120.5050963,17.0,臺中市龍井區,67
67,2019-11-04 10:58:40,6170988978,24.234808,120.5295139,13.0,臺中市梧棲區,68
68,2022-04-03 00:58:45,6171080763,24.231787,120.5124511,26.0,臺中市梧棲區,69
69,2019-11-04 10:58:40,6171173697,24.236878,120.5057026,16.0,臺中市梧棲區,70
70,2019-11-04 10:58:50,6171278726,24.242703,120.5328221,16.0,臺中市梧棲區,71
71,2019-11-04 10:58:19,6171387123,24.303089,120.7221755,12.0,臺中市后里區,72
72,2019-11-04 10:58:18,6171499477,24.286152,120.7098845,15.0,臺中市后里區,73
73,2019-11-04 10:58:50,6171517419,24.232735,120.5201338,16.0,臺中市梧棲區,74
74,2019-11-04 10:59:06,6171610758,24.329182,120.7290496,12.0,臺中市后里區,75
75,2019-11-04 10:58:17,6171766699,24.180513,120.59346,14.0,臺中市西屯區,76
